	E	M	N	ORF10	ORF3a	ORF6	ORF7a	ORF7b	ORF8	S	TRS-L	disc-E	disc-M	disc-N	disc-ORF3a	disc-ORF7a	disc-ORF7b	disc-ORF8	disc-S	frameshift	nsp1	nsp10	nsp11	nsp12	nsp13	nsp14	nsp15	nsp16	nsp2	nsp3	nsp4	nsp5	nsp6	nsp7	nsp8	nsp9
S0008	-0.8418353751520298	-1.2984930972754598e-36	-0.37585169436743926	-1.0132712255930895e-18	-0.0038415798824806943	-0.008785617629981292	-9.63667090681266e-31	-0.6712085938925693	-1.702222836154503e-23	-9.675487039715047e-137	-7.299658662687311e-22	-14.200772458385975	-15.681549684797229	-1.1556412268512175	-19.36001344997663	-11.917732896361795	-13.288103762564724	-11.482051965725507	-25.844000419046246	-45.22380723680376	-2.3678353420600187e-141	-0.41120443468395407	-42.30110439886168	-1522.9260099657884	-1.8620940352792978e-30	-0.0008334209800523274	-9.991798510337886e-11	-4.199315779676049	-1.3099439869593638e-202	-0.0	-8.546209068887637e-07	-760.1933683539428	-0.036325452170414156	-22.52780877407271	-8.458829024482675	-6.801976848204055
S0009	-79.06181018615523	-1.3754789452487381	-0.0	-124.46775840216466	-34.90297224222163	-475.28842638253525	-974.2218859870843	-109.33746651633055	-12.999298172426478	-25.335721860051173	-4.650958118836338e-14	-141.8085657124879	-152.6315693546974	-91.66668857581142	-155.60830320282344	-141.6108858447959	-166.12677568110615	-160.27431692125666	-151.99350433429828	-9.173583788113898	-3.0287328425824144e-251	-63.75865883497023	-6.975764398173222	-2.567924080457721e-99	-5.78572247052247e-09	-26.285004455703813	-0.9209050392838111	-27.415863044147113	-0.0	-0.0	-2.5088347239745883e-58	-1.5417456128182764e-29	-0.0	-0.26466599574745925	-5.480849457744565e-10	-2.802953191807296e-10
S0014	-2.006582901553226e-286	-1.107603791794801e-58	-12962.645260964115	-0.08981824982662656	-2.1418710751048272e-169	-0.0	-1.1451953719964841e-149	-8.676145705744185e-215	-6.5304114790322176e-24	-7233.419230187122	-2.3646367045474478e-98	-3.3559949918235504e-86	-1.4604877112761862e-57	-227.69224517774623	-8.071949845215766	-6.270818871699981e-108	-6.320615204405348e-69	-1.2836206498111255e-90	-1.9841391140170913e-33	-4.834738663961757e-18	-0.0	-0.0	-1.934512849750333e-25	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.783183557791429e-26	-3701.4508731869373	-1.0691103616960995e-191	-752.2414106810069	-7.226656530751654e-13	-3.665477664220759e-211
S0017	-18.361358420161913	-14.620994340655256	-0.020056812913481346	-9.026744658867795	-19.953887008409566	-17.48069338926897	-13.40902507753907	-16.17077339936192	-12.299506100012131	-11.004764376975604	-0.13229556155194955	-20.59258902479546	-19.90122627074745	-15.98876630967058	-22.981244524336667	-17.818074070616486	-16.8178527564876	-16.492352851066908	-0.49659455193662017	-1.3775932582148215e-24	-5.623026047677362e-10	-4.175265691960424e-26	-1.244198992106346e-24	-2.4599087380816524e-38	-0.11553168976740792	-0.10967948190271834	-0.25091095935459556	-0.28583105717686136	-10.00530911408977	-1.5052359484793723e-37	-8.343920940363625e-26	-5.087641607519826e-24	-4.631991111651603e-26	-8.50332679046719e-23	-2.5348609785287964e-24	-1.0605243182631155e-25
S0025	-3.67797090286173	-1.282283858846789	-2.369951797022377e-18	-2.4214604245697116	-4.898095486448862	-4.74432919503381	-0.8684896699723988	-6.302531152372688	-1.4132589905823374	-3.005662840592139e-15	-0.019241542270158788	-10.401115733383202	-8.37327855198301	-4.777021431563136	-11.506076996553128	-8.745720833968878	-9.248018957975049	-8.920289945750765	-14.416782395059462	-9.22840748894427	-3.799987296973857e-64	-1.794578070513503	-9.22840748894427	-7.20566538593334e-15	-7.3668960138369e-06	-20.125202557217378	-17.619170909424565	-2.9436744401035555	-3.0564268946947174e-72	-6.815052144805725e-50	-2.4109934391637813	-0.3163080080295034	-0.004971890120040805	-3.389517843634817	-2.8722710421317963	-1.5730980475037848
S0026	-3.0577349489699275e-100	-9.852975245106388e-40	-4838.4664552722315	-1366.9733372484634	-4.118987523104973e-09	-4.081100514857227e-115	-116.73344212886332	-4.4370608062039644e-48	-1.241393547805701e-23	-0.27321058803967474	-20.59671631844413	-1.5140577671781567e-06	-0.0021675419152459093	-2.0075890405624226	-0.7484914288513843	-0.01094636489684162	-0.0007587785364869175	-2.1905887454437665e-06	-4.951302612611118e-12	-0.00031806108237276867	-718.5420166313128	-7.011830796696575e-39	-1.5355471950638144e-05	-0.0	-1.562036e-316	-8.783997675769582e-81	-0.0	-9.77645562961145e-180	-9.450919287306598e-173	-0.0	-5.124846908160799e-276	-303.83885682488153	-4.6038097836068766e-111	-2.6867897557906396e-08	-1.7734136094320388e-51	-3.6973544344556255e-11
S0030	-3.895120521793727e-70	-1.062019562364142e-24	-1432.370056378818	-627.4849716543413	-1.317224327196725e-20	-1.2571413493202396e-79	-124.21639551625842	-2.756746560547829e-74	-1.5212090631165427e-57	-0.21206667015067315	-17.716378323652588	-7.296342334117532e-44	-1.972022979917902e-42	-1.5344573270740803e-56	-2.726723032357719e-40	-3.6861619960772915e-07	-2.3760044573651123e-45	-8.010007112454522e-47	-2.5368089809917206e-29	-9.047024808511607e-23	-148.72758160073346	-1.1800273559547772e-110	-4.0651212151856947e-23	-1.2697338675034302e-158	-2.1829009737472123e-139	-5.151054962260838e-09	-1.952616495583617e-41	-2.028525633362389e-80	-4.658155305524415e-16	-6.396963837312875e-114	-5.011946192378153e-81	-141.94252261275327	-1.731517524878777e-22	-0.00010859158581750363	-6.85786597864867e-13	-7.722708955919595e-30
S0042	-1.5870366236860267	-1.8607106828821758	-1.2137955347634566	-2.130559720128982	-1.8398037749326197	-2.0840620603073674	-1.5240989693758504	-0.9580048392175026	-1.006567094554906	-0.006599519576160461	-0.016389392180146928	-1.7052534094881004	-1.8716309450243604	-1.0625092979906416	-1.3987445124912021	-2.0840620603073674	-0.9580048392175026	-0.9580048392175026	-0.9169706858611334	-1.1732764570130338	-3.1602834445239577e-09	-0.6241748566554811	-1.1732764570130338	-0.0015961327032458237	-0.19086724264016267	-0.04424152600517439	-0.1602566202604395	-0.8691204447982779	-3.627076648738211	-0.0709454815123295	-0.0357782610451759	-0.03737807306313249	-0.041635284861435556	-0.09792657016609402	-0.4654891835156993	-1.277120532908892
S0057	-0.09773514319588496	-0.01910795463808874	-0.00024685772235291404	-0.005553944745528563	-0.09188203675831585	-0.020370739196425156	-0.01850190037245134	-0.020370739196425156	-0.020370739196425156	-2206.8131255697094	-0.21091731327611923	-0.10685598669966725	-0.08384755806827535	-0.020370739196425156	-2.150707314523739e-45	-0.020370739196425156	-0.020370739196425156	-0.020370739196425156	-7.71026074592883e-41	-1.8975590428827295e-24	-0.007232702403674766	-2.6720854485867393e-25	-1.8975590428827295e-24	-5.677825107415013e-30	-2.8029474811725596e-39	-6.227688988568297e-39	-7.165877107619905e-43	-1.656315576885882e-39	-6.527923886366536e-10	-1.7921489215565787e-29	-4.37931890677476e-25	-6.67142510138752e-24	-1.594110859376978e-24	-1.335876939606346e-24	-7.016002615599115e-24	-3.0886041076170068e-24
S0085	-0.0	-0.0	-7261.8642070440155	-2502.9482227264784	-0.0	-0.0	-327.0513748210099	-0.0	-1.9259001245626137e-89	-6531.310511495116	-0.00195731288408461	-3.3203739498479875e-129	-7.098274102515974e-24	-0.6200194382348695	-4.1125954876665234e-25	-6.966975455087142e-32	-4.51184709541906e-16	-9.910717677763966e-54	-1.4678596984352354e-10	-2.9496045202802526	-2.826524568049405e-214	-1278.1010159322561	-0.020322375870790214	-0.0	-2.0656824164580758e-197	-6.915584233694509e-205	-0.0	-3.7980806109276096e-226	-0.0	-0.0	-0.0	-3856.8894182345925	-3.1761922017321824	-7.273130450751637	-7.892813685652441e-87	-1.80391753552066e-11
COV00075	-20.500432527582465	-1.4359830247976944e-15	-1706.9575820509249	-405.4733516743317	-185.21657686265524	-2.5585200380286673e-08	-45.03650690848307	-81.06160584613573	-19.836929858539378	-537.139918693902	-1.1573235607109711e-06	-103.78860418464996	-129.41921116444723	-170.68968382024053	-136.6450118226498	-111.41649786692828	-133.86324469140771	-130.22406370823805	-57.75923219447589	-7.381885427384745	-2.5965177158202135e-30	-27.76455179497609	-5.378215696092926	-0.0	-2.525592550005282e-06	-6.734181130393899e-45	-3.525024950968797e-110	-4.415009728054816e-56	-5.471209649726859e-138	-0.0	-1.123651387460705e-180	-525.2197011682075	-2.3434738094176036e-10	-5.346882176406085e-19	-2.0390335869291255e-227	-8.266087609838148e-18
COV00079	-6.5758850254719	-0.08481218752765451	-2.31111171776568e-09	-1.6781389851297601	-5.375372359533382	-3.4021650803041363	-7.076131420049451	-3.9274344419263003	-1.2738545747746846	-4.776941476531049e-07	-0.014339897286728109	-8.048328704342	-8.048328704342	-6.017531275710945	-6.5758850254719	-8.592669883067533	-8.592669883067533	-5.832540071595662	-6.8753137080218645	-3.63609790412543	-0.0005489106631855753	-1.6576178461915891	-3.63609790412543	-1.2071237507268391e-05	-0.3002679579352059	-0.06923519736323105	-0.7039574936780716	-1.631184004435947	-1.8793745698090358e-07	-8.224415445155386e-15	-0.0002620076654489735	-0.13952023324160642	-0.4190770667043726	-2.8283475622153476	-0.028801321593236753	-2.901304577719573
