	S_peak	S_peak_2	S_peak_3	S_peak_4	S_peak_5	S_peak_6	S_peak_7	S_peak_8	S_peak_9	S_peak_10	S_peak_11	S_peak_12	S_peak_13	S_peak_14	S_peak_15	S_peak_16	S_peak_17	S_peak_18	S_peak_19	S_peak_20	S_peak_21	S_peak_22	S_peak_23	S_peak_24	S_peak_25	S_peak_26	S_peak_27	S_peak_28	S_peak_29	S_peak_30	S_peak_31	S_peak_32	S_peak_33	S_peak_34	S_peak_35	S_peak_36	S_peak_37	S_peak_38	S_peak_39	S_peak_40	S_peak_41	S_peak_42	S_peak_43	S_peak_44	S_peak_45	S_peak_46	S_peak_47	S_peak_48	S_peak_49	S_peak_50	S_peak_51	S_peak_52	S_peak_53	S_peak_54	S_peak_55	S_peak_56	S_peak_57	S_peak_58	S_peak_59	S_peak_60	S_peak_61	S_peak_62	S_peak_63	S_peak_64	S_peak_65	S_peak_66	S_peak_67	S_peak_68	S_peak_69	S_peak_70	S_peak_71	S_peak_72	S_peak_73	S_peak_74	S_peak_75	S_peak_76	ORF3a_peak	ORF3a_peak_2	ORF3a_peak_3	ORF3a_peak_4	ORF3a_peak_5	ORF3a_peak_6	ORF3a_peak_7	ORF3a_peak_8	ORF3a_peak_9	ORF3a_peak_10	ORF3a_peak_11	ORF3a_peak_12	ORF3a_peak_13	ORF3a_peak_14	ORF3a_peak_15	ORF3a_peak_16	E_peak	E_peak_2	E_peak_3	E_peak_4	E_peak_5	E_peak_6	M_peak	M_peak_2	M_peak_3	M_peak_4	M_peak_5	M_peak_6	M_peak_7	M_peak_8	M_peak_9	M_peak_10	ORF6_peak	ORF7a_peak	ORF7a_peak_2	ORF7a_peak_3	ORF7a_peak_4	ORF7a_peak_5	ORF7a_peak_6	ORF7a_peak_7	ORF8_peak	ORF8_peak_2	ORF8_peak_3	ORF8_peak_4	ORF8_peak_5	N_peak	N_peak_2	N_peak_3	N_peak_4	N_peak_5	N_peak_6	N_peak_7	N_peak_8	N_peak_9	N_peak_10	N_peak_11	N_peak_12	N_peak_13	N_peak_14	N_peak_15	N_peak_16	N_peak_17	N_peak_18	N_peak_19	N_peak_20	N_peak_21	N_peak_22	N_peak_23	N_peak_24	N_peak_25	N_peak_26	N_peak_27	N_peak_28	N_peak_29	N_peak_30	N_peak_31	N_peak_32	N_peak_33	N_peak_34	N_peak_35	N_peak_36	N_peak_37	N_peak_38	N_peak_39	N_peak_40	N_peak_41	N_peak_42	N_peak_43	N_peak_44	N_peak_45	N_peak_46	ORF10_peak
S0008	-0.1497076865420192	-0.8028101727995625	-11.579539889115082	0.0	-11.783785361028658	-7.067443706010862	0.0	-11.030013789545105	-5.979321724589902	-6.266326791755189	-21.988764513650494	-4.117547228502365	-20.57182364855437	-21.79446447689185	-5.231538173196604	-9.077867813689206	-11.658806545448481	-15.237293499062297	-21.849749847481213	-0.18733774192904612	-9.628407955134017	-11.579539889115082	-1.5582397731576765	-9.766613758051689	-1.4228956193622315	-2.892725537003655	-22.157987527133397	-3.7267375151838547	-3.7856832245157035	0.0	-1.0017959291348768	-2.411861841213866	-7.661996174847514	-1.4233212233159571	-20.367799298284975	-2.924480605657557	-12.00318329636112	-8.900697656679155	-1.0421257630186584	-1.1053890688706278	-15.984802135803056	-12.00318329636112	-2.7120015622969276	-11.524549160374082	-16.642310749824347	-3.6141742439101048	-2.4367832355809407	-8.751146592233447	-10.153823700107372	-9.336665716358645	-2.7538472171392994	-6.213450148628425	-18.787847284862504	-4.982447715433121	-21.579295241497213	-1.6104489140429037	-4.584550491750427	-16.985336372359857	-2.1446519094360434	0.0	-1.3146092823013917	-9.628407955134017	-4.5362475745693	-18.276520856233688	-11.186981788242127	-6.5784464020957545	-5.538440544391601	-7.6402885033162535	-4.970549661467814	-0.8721123836888693	0.0	0.0	-4.5362475745693	0.0	-0.29010376639553637	-10.669951448956098	-7.701652370996139	0.0	-8.988927713906566	-10.219620521056326	-11.035632690769168	-11.310646768513944	-11.909156671168585	-17.02731830203725	0.0	-9.407053051088043	-0.6081917426831547	-14.351026582450253	0.0	-7.544960596810983	-3.5010662970654276	0.0	-1.315232696886561	-3.7856832245157035	-2.123473035911171	-1.315232696886561	-2.431544538193027	-1.315232696886561	-1.2744901334491814	-0.2160157573379112	-0.19842163630161272	-1.4493916887125518	-4.982447715433121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16276515170577463	0.0	-0.16276515170577463	-0.002462767071103649	0.0	0.0	0.0	-1.2951674523455399	0.0	0.0	0.0	0.0	-359.8769873449945	0.0	0.0	-29.90636172126749	0.0	0.0	0.0	0.0	-72.85632445927504	-388.9359049098573	0.0	0.0	-99.73028550318546	-271.85467222876224	0.0	0.0	0.0	0.0	-13.706899169061002	0.0	0.0	-25.01925409763302	-117.38563296340953	-291.28195081333917	0.0	0.0	-85.37578037389879	0.0	-171.63296116571573	0.0	-266.6331855995166	0.0	-14.665594123604889	0.0	-0.15165686978917492	0.0	-1.7226082558016316	-45.45666978881804	0.0	-155.62288178581105	-60.60066170803368	-3.9671165724225066	0.0	-111.96462840894242	0.0	0.0
S0009	-269.33371672934254	0.0	-13.237468478178796	-14.947180983839274	-30.912306611633618	-10.774106487593313	0.0	-8.746386149023074	-13.002824125761595	-4.190578884107538	-15.61572402745044	-193.09203580120493	-25.532451267835985	-42.602316190233864	-55.368003377959354	-119.963855551711	-18.68040270380291	-21.40236217854657	-40.27527506274296	-274.62322555124587	-8.565227444975442	-12.614609049524319	-189.34876916910954	-2.968721533704759	-188.43091927194268	-1.3991887168847246	-16.405462057005174	-229.77963851075424	-0.3191143287018191	-252.554481402648	-3.0592743318844864	-4.830110368799218	-1.837234420661663	-0.7152078160345945	-31.036278929004432	-4.449065772608529	-17.3440006246581	-6.56546879569497	-295.5845253553482	0.0	-25.890318600937807	-17.3440006246581	-203.9875066123117	-4.527448540287599	-10.022270649073269	-48.4592892208718	-216.05748029060027	-14.435177746377198	-9.978482403394418	-11.547142166055433	-0.07355794880038635	-3.524280944642462	-33.73340259058477	-91.01669534931504	-38.15473259796572	-189.34876916910954	-4.677193688673932	-11.547142166055433	-40.3155569761335	-31.664545252806054	-0.5333941680520199	-3.766911725902167	-1.913334442696378	-11.858856428923938	-20.756718273255977	-104.0543531572451	-5.189272517517186	-13.002824125761595	-201.70081589517278	-1.8403890709993684	-15.550932349912221	0.0	-1.913334442696378	0.0	-275.5640078917601	-10.256880426521823	-18.97824945589469	0.0	-19.71051023470492	-34.200645810283035	-30.6567670063367	-23.734133280404418	-29.452323852938942	-32.400386538517175	-1.588045164775031	-22.841453772118204	-3.314262766107072	-40.13578416534622	0.0	-23.734133280404418	-15.131394254617476	0.0	-13.023400820186092	-22.821768501591315	-14.789697246578655	-13.023400820186092	-15.510211044677733	-13.023400820186092	-14.789697246578655	-7.954329793217158	-14.435177746377198	-15.510211044677733	-23.830996874875385	-0.12762234327037772	-1.0844746932084932	-4.439586422970464	0.0	0.0	-195.8282797918456	-411.5377056846668	-18.634218224335367	-525.4401801940767	-18.634218224335367	-16.53120572712321	-351.82334842794944	-411.5377056846668	0.0	-28.422002064584092	0.0	-21.607672251632344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.015780720880167	0.0	0.0	0.0	-0.538749109190702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0971118409052343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-18.634218224335367
S0014	-inf	-81.39541441808124	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf	0.0	0.0	-654.7636750363231	-325.72906566590893	0.0	0.0	0.0	-inf	-101.82758933799418	0.0	-inf	0.0	-inf	-107.06344639360921	0.0	-inf	0.0	-inf	0.0	-6.91097998737772	0.0	0.0	0.0	0.0	0.0	-71.90417803537518	-inf	-0.5227474625858926	0.0	0.0	-inf	0.0	0.0	-494.82505800649125	-inf	0.0	-6.807486494645146	0.0	0.0	0.0	0.0	-inf	0.0	-inf	-50.270715206679135	0.0	-601.8385003782597	-391.19139826247897	0.0	0.0	0.0	0.0	0.0	-195.65074250781976	0.0	0.0	-inf	-279.8150257188175	-inf	0.0	0.0	-64.57988416455342	-inf	-5.7490852791355636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-214.64938627330747	-450.9118634440885	0.0	-inf	0.0	0.0	-236.9452613570689	0.0	-58.222899784187085	0.0	-535.2843524417681	0.0	-33.562266164113424	-0.35755766650698295	0.0	-206.85445772459715	-inf	0.0	-inf	0.0	0.0	-480.3332683543829	-256.615995062407	0.0	-698.6601029068585	0.0	-460.7328597172058	-213.5427833345162	-81.67144383664765	0.0	-30.85331947770811	-257.36282990324696	0.0	0.0	0.0	-213.5427833345162	0.0	-inf	0.0	-644.7784489779641	-157.81183964106054	-376.8470182513823	0.0	0.0	-698.6601029068585	0.0
S0017	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.611722816108913	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.576797607972282	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.576797607972282	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.611722816108913	-5.850664691658627	-2.1306837432788454e-07	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.470766063025972	-5.850664691658627	-1.5485763448230168	-2.1306837432788454e-07	-2.1306837432788454e-07	-5.470766063025972	-5.470766063025972	-5.850664691658627	-5.590974022360794	-5.611722816108913	-5.850664691658627	-5.850664691658627	-5.850664691658627	-5.470766063025972	-5.611722816108913	-5.5499905337365565	-5.470766063025972	-5.470766063025972	-5.470766063025972	-5.470766063025972	-5.470766063025972	-4.803857980758295	-5.280310730321877	-5.012182722617547	-4.803857980758295	-5.220893398561009	-4.803857980758295	-4.907069189441437	-4.008417633323075	-4.062766577707655	-4.907069189441437	-4.619684854228319	-4.284036257466669	-4.284036257466669	-4.344978163060186	-3.452997659831024	-3.031556992714123	-4.284036257466669	-2.4819904712954592	-3.5988586090035084	-3.031556992714123	-3.5988586090035084	-3.5988586090035084	-3.7054016223070585	-2.4819904712954592	-2.0062828126858787	-3.193427545189704	-2.5059550757627096	-3.196552713399876	-2.0062828126858787	-0.2776977227414566	-2.1306837432788454e-07	-2.1306837432788454e-07	-1.0846020670529497	-0.689900657655655	-0.5293528452254522	-0.3045265889722652	-0.5820598334950832	-0.2776977227414566	-1.0613899610263495	-0.9355175088341016	-0.6829992864773401	-0.5820598334950832	-1.352648245352974	-1.634018862408576	-0.5217004129683296	-1.0846020670529497	-0.30089990591913945	-2.1306837432788454e-07	-0.03466918554491379	-1.0731306378488876	-2.1306837432788454e-07	-0.7168699468287819	-1.0846020670529497	-1.035816289670309	-0.7088080160686194	-0.5293528452254522	-1.0613899610263495	-0.6829992864773401	-0.760367837708882	-1.0846020670529497	-1.4590284844467583	-0.9117219931626992	-0.689900657655655	-1.0731306378488876	-2.1306837432788454e-07	-0.6829992864773401	-2.1306837432788454e-07	-0.5293528452254522	-0.9470836552982888	-2.1306837432788454e-07	-0.4443512781775798	-2.1306837432788454e-07	-0.2776977227414566	-2.0861020886683956	-0.7088080160686194	-0.8762287310661595
S0025	-1.5909027389978474	-2.908726613900228	-2.0713240334020737	0.0	-1.5909027389978474	-0.07663649912214116	0.0	-0.24480671840919765	-2.446103191989669	-1.6191842031944932	-2.0713240334020737	-1.7601138212668663	-2.0713240334020737	-2.0713240334020737	-1.2189699380514043	-2.103401959614018	-0.11540593328139848	-1.1780607056571033	-1.9795759957574297	-1.5909027389978474	-5.898687716870475	-1.8851738533157636	-1.2805846671437224	-2.5581951622238503	-1.1780607056571033	-4.7891414079604635	-2.0713240334020737	-1.7601138212668663	-0.4085530874048976	-0.8472826164685393	0.0	-2.0713240334020737	-1.8851738533157636	-0.23694583931514263	-1.7658650421217688	-2.0713240334020737	-2.0713240334020737	-5.898687716870475	-1.3446254204852004	-3.1582214496434307	-1.907481370400465	-2.0713240334020737	-1.5909027389978474	-3.372152256039915	-1.9798596897778384	-0.6677076754684773	-1.8851738533157636	-0.15799915369248105	-5.898687716870475	-0.9672690941122543	-0.22367148793083502	-1.5909027389978474	-2.0713240334020737	-2.0713240334020737	-2.0713240334020737	-1.2805846671437224	-5.289924770790185	-1.9798596897778384	-0.6677076754684773	0.0	-0.23694583931514263	-0.5760306939523904	-1.5909027389978474	-2.0713240334020737	-1.5909027389978474	-2.0713240334020737	-1.7405676039999425	-1.9795759957574297	-2.044495649033171	-0.07558768665237986	0.0	0.0	-1.5909027389978474	0.0	-1.6191842031944932	-3.1072821444778245	-1.7102886235038701	-0.6858498050784605	-1.7102886235038701	-2.202683191666439	-2.0713240334020737	-1.8851738533157636	-2.0713240334020737	-2.103401959614018	-1.16747596854083	-2.044495649033171	-1.16747596854083	-2.202683191666439	-0.6858498050784605	-1.7102886235038701	-2.0713240334020737	-0.6858498050784605	-0.4085530874048976	-0.9672690941122543	-0.48148763182504056	-0.4085530874048976	-0.5851425103333088	-0.4085530874048976	-0.5947331745581593	-1.16747596854083	-1.5625995245064672	-0.5947331745581593	-1.7405676039999425	-0.29970894179864205	-0.4085530874048976	-0.5851425103333088	-0.4205013425213167	0.0	-0.6306955393286169	0.0	-1.0798107527048904	-0.17043736106510202	-1.0798107527048904	-0.6858498050784605	-0.24097196977677332	0.0	0.0	-0.5851425103333088	-0.22912553823142864	-0.49032208447317455	0.0	0.0	0.0	0.0	0.0	-0.5760306939523904	0.0	0.0	-1.7245981919864395	0.0	0.0	0.0	-0.22912553823142864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.43305116049390174	-0.06612769560942382	0.0	-0.5381285452235793	0.0	0.0	-0.22912553823142864	0.0	0.0	-0.4106473996649322	0.0	0.0	-0.0639829175613908	-0.5851425103333088	-0.5851425103333088	-0.06612769560942382	0.0	-0.4106473996649322	0.0	0.0	0.0	0.0	-0.5009789779333511	0.0	0.0	0.0	-0.22912553823142864	-0.06678265795427213
S0026	-60.56506189085854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-39.25707879858789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-70.08037450084412	0.0	0.0	-44.91271082234614	0.0	-58.90669467890716	0.0	0.0	-48.358483467237605	0.0	-30.493168794954833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-55.96721826358804	0.0	0.0	0.0	-64.54884670643762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-46.07715165564285	0.0	-49.418653243550466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-42.51472672515377	0.0	0.0	0.0	0.0	0.0	-52.2968773297938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-226.3952282527127	-669.679996331356	0.0	-189.70280840863697	0.0	-223.40854506499122	-165.19749027926804	0.0	-222.60595953485557	-406.1691218379911	-28.832677320977922	0.0	-196.7837681341438	-353.4399234408593	-279.71156928233773	-239.9629415149888	-296.3172038128799	0.0	-651.8278272558456	0.0	0.0	-567.6930442903453	0.0	-433.35859237270273	-115.33943012377976	0.0	-237.62746461751425	-481.5192811933815	0.0	-182.639338700662	-183.53032288039108	-181.7291630855366	0.0	0.0	0.0	-inf	0.0	-inf	0.0	-85.19329018324349	-506.67844029897924	0.0	-533.8405794534764	-226.3952282527127	-280.64745937585707	0.0	-363.64595642526064
S0030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-32.03893775967629	0.0	0.0	0.0	-1.1482455033681893	-8.57076977109368	-32.03893775967629	0.0	0.0	0.0	0.0	0.0	-116.04719865659962	-198.01620214790574	-27.051082914577513	-49.045820082736306	-1.9560067322237014	-60.057792304496836	-88.15912171449091	0.0	-141.4831559744939	-208.79277723579017	0.0	-2.3059931949955605	-49.774687321287686	-108.8354237964458	-4.809335754530157	-78.71638469826883	-157.11910218410534	-15.740337958428825	-438.0551167503048	-10.971720101864245	-1.3051920311335259	-357.96029802037543	0.0	-147.84091816848394	0.0	0.0	-57.527678103928814	-182.12200523038695	-4.754142327231903	0.0	-43.47218101143823	-116.08325375783187	0.0	-2.3059931949955605	-1.3051920311335259	-464.8954172093724	-4.754142327231903	-490.12758876558706	-8.25508206409068	-118.57958355441201	-237.0810515959033	-4.145669303297453	-532.0922224171183	-116.04719865659962	-86.3115316788725	0.0	-327.0227014252926
S0042	-0.1110622814679388	-0.21607929530318395	-0.2501872430824382	-0.13622643639979976	-0.2501872430824382	-0.2501872430824382	-0.08017726873985333	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.1928973064455911	-0.2501872430824382	-0.2501872430824382	-0.1413766525162951	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.1110622814679388	-0.2501872430824382	-0.2501872430824382	-0.13622643639979976	-0.2501872430824382	-0.13622643639979976	-0.21607929530318395	-0.2501872430824382	-0.1928973064455911	-0.2501872430824382	-0.17442476992892117	-0.2501872430824382	-0.2501872430824382	-0.17442476992892117	-0.13622643639979976	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.1110622814679388	-0.21607929530318395	-0.2501872430824382	-0.2501872430824382	-0.1928973064455911	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.21607929530318395	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.19542544142141674	-0.2501872430824382	-0.13622643639979976	-0.2501872430824382	-0.2501872430824382	-0.14220229774002252	-0.2500509272625033	-0.18786546431921544	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.19542544142141674	-0.2501872430824382	-0.10109645695282984	-0.13622643639979976	-0.2501872430824382	-0.0015970349047274353	-0.1110622814679388	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382	-0.2501872430824382
S0057	-507.62994712658053	0.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-509.3939285988734	0.0	0.0	-499.40386236933847	0.0	0.0	0.0	0.0	-507.62994712658053	0.0	0.0	-507.62994712658053	0.0	-507.62994712658053	0.0	0.0	-509.3939285988734	-499.65472234480615	-508.28174661202155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-507.62994712658053	0.0	0.0	0.0	-509.3939285988734	0.0	0.0	-497.1690770377826	-509.64587537158997	0.0	0.0	0.0	0.0	0.0	-455.5945302352672	-509.3939285988734	0.0	-507.62994712658053	0.0	0.0	-497.1690770377826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-509.3939285988734	-497.38116276242425	-499.00271608059114	0.0	0.0	-inf	-507.62994712658053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S0085	-inf	0.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	0.0	0.0	-inf	-24.41355024153563	0.0	-inf	0.0	-inf	0.0	0.0	-inf	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-45.48087411508782	-inf	0.0	0.0	0.0	-inf	0.0	0.0	-inf	-inf	0.0	-28.491506570073774	0.0	0.0	0.0	0.0	-inf	0.0	-inf	0.0	0.0	-inf	-0.7333881267226411	0.0	0.0	0.0	0.0	0.0	-88.53444065510745	0.0	0.0	-inf	-284.700077032375	-inf	0.0	0.0	-23.555348563582424	-inf	-3.0695056126813314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-11.58039552073845	0.0	0.0	-18.731782519950805	0.0	-22.3022180564333	-63.52678840871025	0.0	-15.301887478869117	0.0	0.0	0.0	-22.166021025950315	0.0	0.0	-11.057725007538302	0.0	0.0	-26.21749602466673	0.0	-3.2881465823100613	-46.402036661435325	0.0	0.0	0.0	0.0	-11.97735073949087	0.0	0.0	0.0	-10.058215875373993	0.0	0.0	0.0	-3.2881465823100613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-11.58039552073845	0.0	0.0	-325.7545241298455
