0	S0008_IN	S0008_RIP	S0009_IN	S0009_RIP	S0014_IN	S0014_RIP	S0017_IN	S0017_RIP	S0025_IN	S0025_RIP	S0026_IN	S0026_RIP	S0030_IN	S0030_RIP	S0042_IN	S0042_RIP	S0057_IN	S0057_RIP	S0085_IN	S0085_RIP	COV00075_IN	COV00075_RIP	COV00079_IN	COV00079_RIP	COV00084_IN	COV00084_RIP	COV00087_IN	COV00087_RIP	COV00093_IN	COV00093_RIP	COV00106_IN	COV00106_RIP	COV00397_IN	COV00397_RIP	COV00413_IN	COV00413_RIP	COV00417_IN	COV00417_RIP	COV00419_IN	COV00419_RIP	COV00422_IN	COV00422_RIP	COV00432_IN	COV00432_RIP
S_peak	2116	417	279	5238	14600	19621	2339	507	117	989	1573	17407	498	4430	366	2410	322	2923	9084	135398	2792	13434	15	110	1315	4935	56	53	4369	9538	7178	5049	3341	4625	10329	3193	71	700	2191	1087	487	10745	12235	8539
S_peak_2	2036	419	266	1282	12231	6362	2347	507	129	1214	1204	6046	458	3988	364	2488	321	105	8370	37171	2689	8721	4	112	1285	4171	68	59	4095	5011	6173	2459	2994	4045	8963	2990	75	730	1798	1096	469	5109	10931	5209
S_peak_3	1617	418	149	1276	4563	528	2524	764	106	956	418	2628	256	1177	353	2515	345	107	2724	12399	1687	5435	4	98	1184	4505	54	70	2516	4734	3994	2098	2956	4251	9250	3382	75	785	2088	1196	352	5200	9881	5004
S_peak_4	2301	417	354	2698	16564	13582	2321	507	137	915	1777	13586	558	4477	362	2409	324	5672	10826	99081	3304	9492	12	106	1485	4550	62	59	5335	6736	9145	3640	4001	4396	15422	3048	77	692	3036	1069	597	6989	16301	6489
S_peak_5	1607	417	112	1284	4833	1807	2271	507	109	930	407	1471	266	690	347	2424	319	102	2785	9544	1508	3722	6	97	972	4021	40	48	2037	3466	3284	1487	2279	3637	5480	2919	70	703	1378	943	295	2842	6700	4026
S_peak_6	1727	417	157	1278	7961	1370	2286	507	132	934	668	477	302	1120	347	2424	320	102	4921	6357	1739	3299	6	97	1057	4111	46	55	2285	3230	3669	1427	2407	3678	6359	2953	70	711	1399	954	325	2707	7479	4028
S_peak_7	3026	420	479	1283	25657	6992	2393	507	183	1215	2915	7813	787	4503	382	2488	326	105	18553	55432	4683	10109	6	112	1732	4190	98	62	7242	5467	11047	2636	4780	4169	22103	3079	82	742	3880	1247	731	5503	18064	5388
S_peak_8	1635	419	164	1278	6257	168	2358	509	128	941	585	1086	291	741	359	2492	319	107	3609	6864	2148	3787	12	101	1225	4192	49	54	3429	3687	5402	1809	2996	3755	9061	2994	79	736	2017	1021	421	3502	10329	4041
S_peak_9	1769	419	150	1277	6140	421	2542	764	100	952	505	1638	290	626	353	2511	343	107	4597	9992	2108	4487	9	103	1268	4699	49	64	3094	3888	4970	1700	3375	4070	13664	3314	75	774	2324	1126	404	3189	13874	4726
S_peak_10	1755	418	185	1281	6380	537	2532	764	112	957	615	3046	299	1672	355	2515	345	107	4486	16171	2136	5853	5	103	1325	4505	62	72	3335	4991	5285	2206	3550	4340	12006	3412	78	786	2595	1224	417	5472	12945	5041
S_peak_11	1428	416	144	1288	4512	1174	2222	507	101	910	438	674	258	934	342	2386	314	101	2921	5422	1626	3125	6	101	1016	3846	42	50	2059	3146	3543	1360	2424	3478	7494	2795	61	668	1543	915	304	2583	7369	3951
S_peak_12	1826	417	200	3750	9445	11053	2303	507	105	915	993	11006	382	2521	355	2409	320	2922	5754	87078	2089	9564	11	108	1150	4602	48	50	3110	7398	5090	3501	2762	4220	8271	3078	70	692	1669	1015	382	8256	9236	7259
S_peak_13	1450	416	122	1288	4089	1171	2224	507	99	910	361	747	232	577	341	2389	314	101	2327	6537	1536	3126	7	101	979	3869	42	50	2012	3164	3293	1399	2285	3473	6072	2789	60	670	1381	932	296	2610	6792	4000
S_peak_14	1432	416	95	1287	3313	1190	2237	507	99	910	274	810	241	934	341	2398	314	100	1810	3939	1446	3337	4	101	973	3887	40	49	1978	3230	3320	1471	2208	3556	5145	2847	63	676	1240	930	294	2733	6779	3861
S_peak_15	1784	417	185	2186	9140	7008	2291	507	110	911	936	7758	369	2019	359	2407	320	2887	5578	60935	2277	7759	6	104	1196	4370	45	54	3372	5928	5586	3187	2953	4158	8574	2990	72	689	1806	1010	442	6075	10899	5952
S_peak_16	1673	417	128	2364	5695	4133	2275	507	109	1004	500	2409	285	1370	348	2424	319	102	3353	14556	1658	4442	8	97	1007	4082	41	48	2349	3792	3751	1688	2444	3666	6097	2957	70	706	1562	966	318	3195	7359	4146
S_peak_17	1610	417	135	1278	6321	1370	2284	507	131	934	531	456	281	641	347	2424	320	102	3777	4058	1611	3179	6	97	1015	4108	46	55	2076	3216	3334	1425	2317	3656	5774	2936	70	705	1303	951	302	2686	6988	3927
S_peak_18	1549	419	129	1278	5414	161	2347	508	114	939	478	1082	276	739	359	2492	319	105	2954	6695	1594	3609	5	99	1083	4133	39	52	2447	3609	3706	1678	2362	3699	4650	2954	75	726	1195	975	342	3414	7474	4022
S_peak_19	1443	419	97	1277	2942	165	2351	509	106	941	231	492	229	507	350	2492	319	107	1521	2118	1522	3138	7	99	1025	4189	42	53	1940	3246	3122	1583	2370	3693	6147	2987	73	736	1431	984	309	2712	6992	3987
S_peak_20	2104	417	274	5238	14207	19618	2337	507	117	989	1536	17403	492	4222	365	2410	322	2922	8793	134622	2738	13215	15	110	1304	4930	55	53	4287	9479	7039	5009	3316	4591	10188	3182	71	696	2159	1070	478	10646	12000	8539
S_peak_21	1668	419	165	1280	6553	3754	2330	507	114	1214	662	3828	323	2518	353	2434	320	102	4359	22974	1899	6561	3	104	1127	4156	56	55	2784	4340	4240	2018	2437	3877	5522	2954	71	721	1301	1063	369	4226	8125	4494
S_peak_22	1617	418	151	1276	4681	528	2524	764	109	957	429	2777	257	1668	353	2515	345	107	2823	12643	1703	5481	4	100	1202	4505	58	70	2572	4797	4082	2163	2986	4251	9457	3382	75	786	2124	1208	358	5388	10036	5004
S_peak_23	1958	417	246	4158	12329	15209	2332	507	110	915	1325	14409	447	3123	362	2409	322	2922	7417	118035	2364	11498	10	110	1232	4826	53	52	3605	8757	5857	4775	2950	4481	8649	3115	71	693	1730	1038	429	9899	10412	8197
S_peak_24	1664	419	193	1282	7971	2865	2334	507	115	1083	801	3884	362	2252	361	2488	321	105	5335	24681	2172	6867	3	107	1165	4152	59	54	3104	4387	4684	2286	2634	3897	5985	2963	72	728	1465	1040	380	4431	8774	4936
S_peak_25	1969	417	247	4158	12560	15673	2332	507	111	915	1351	15201	450	3421	362	2409	322	2922	7620	122017	2435	11704	10	110	1246	4826	53	53	3671	8877	6028	4811	2985	4496	8716	3115	71	693	1748	1042	437	10156	10643	8199
S_peak_26	1890	419	206	1280	9370	5163	2340	507	120	1214	937	5109	386	2807	356	2434	320	105	6429	28924	2216	7289	3	106	1194	4156	59	56	3378	4620	5065	2082	2697	3958	7577	2960	73	723	1547	1075	422	4442	9384	4728
S_peak_27	1425	416	142	1288	4396	1171	2221	507	101	910	410	633	244	936	341	2386	314	101	2733	5395	1587	3148	7	101	984	3852	42	51	2073	3159	3494	1388	2349	3479	6725	2789	61	668	1480	931	305	2604	7001	3997
S_peak_28	1843	417	207	4156	10323	13671	2332	507	105	915	1079	12177	407	2878	355	2409	320	2922	6184	96354	2136	10199	10	110	1180	4728	52	51	3188	8024	5217	4117	2773	4374	8090	3094	70	693	1610	1021	390	9309	9445	7585
S_peak_29	1840	417	223	1290	8933	3126	2277	507	121	911	907	2956	374	2184	342	2402	320	2888	6049	17249	2661	5002	8	101	1306	3984	51	56	4114	3822	7071	1732	3468	3884	13031	2904	75	688	2653	1008	494	3320	13396	4349
S_peak_30	2243	417	295	5237	15357	18282	2349	507	126	1004	1617	16485	518	3790	359	2424	321	2922	9484	130316	2772	12814	16	110	1313	4937	56	52	4506	9347	7367	4829	3406	4577	10865	3192	71	711	2335	1055	488	10417	12249	8409
S_peak_31	2012	418	192	1280	11056	1491	2336	507	145	934	1092	1455	376	1155	349	2424	321	102	7090	14652	2080	3916	6	100	1145	4116	51	58	2927	3424	4719	1525	2733	3716	9241	2980	72	718	1771	979	387	2801	8950	4072
S_peak_32	1916	419	181	1279	9138	4163	2335	507	119	1067	943	3413	363	1936	349	2428	321	102	5957	19842	1970	4943	5	102	1137	4102	48	59	2795	3920	4442	1641	2675	3825	8788	2974	73	717	1618	1001	385	3390	8743	4247
S_peak_33	1719	419	202	1282	8883	2865	2347	507	125	1083	899	3940	382	2252	368	2488	322	105	6071	25317	2337	6962	3	107	1188	4155	63	54	3303	4416	4956	2293	2715	3901	6636	2969	73	731	1557	1043	393	4431	9186	4940
S_peak_34	1978	419	214	1278	10935	169	2351	507	128	937	1156	931	431	634	373	2491	320	105	7522	7650	2671	3668	6	99	1313	4134	57	52	4062	3571	6054	1582	3389	3687	13677	2999	74	724	2600	1090	463	3230	11068	4099
S_peak_35	1466	419	111	1278	3729	166	2351	509	108	941	330	749	243	508	350	2492	319	107	2055	3103	1637	3346	7	99	1072	4191	43	53	2272	3394	3585	1686	2500	3721	6278	2988	75	736	1510	985	343	3074	7599	3991
S_peak_36	1888	419	183	1278	7611	427	2553	764	104	952	668	1728	327	626	355	2511	343	107	6121	12771	2508	4771	10	103	1386	4701	54	67	3779	4052	6012	1759	3839	4155	15712	3342	78	776	2728	1144	454	3212	16149	4766
S_peak_37	1606	418	138	1276	4233	525	2524	764	104	956	386	2327	253	1020	353	2515	345	107	2526	11201	1639	5193	4	98	1161	4488	53	69	2412	4544	3816	2047	2895	4214	8850	3382	75	785	1998	1155	344	4961	9572	4844
S_peak_38	1687	419	173	1280	6892	3754	2335	507	115	1214	699	4309	339	2576	353	2434	320	105	4664	25477	1974	6713	3	104	1138	4156	56	56	2929	4397	4425	2073	2512	3899	5852	2956	71	721	1343	1063	387	4311	8368	4540
S_peak_39	2003	417	255	5237	12765	17534	2336	507	114	951	1368	15256	458	3799	365	2410	322	2922	7728	122953	2436	11988	12	110	1249	4902	53	52	3809	8969	6228	4861	3039	4486	9127	3130	71	693	1873	1043	443	10128	10860	8287
S_peak_40	2007	419	254	1282	11916	5163	2343	507	127	1214	1175	5600	448	3679	364	2488	321	105	8152	36977	2590	8443	3	111	1271	4177	69	56	3966	4949	5930	2408	2955	4038	8461	2969	74	730	1758	1090	457	4966	10576	5209
S_peak_41	1536	419	120	1278	4939	161	2347	508	106	936	434	1021	266	739	359	2492	319	105	2658	6687	1536	3545	5	99	1056	4133	38	52	2275	3551	3463	1660	2312	3690	4427	2949	75	722	1152	973	326	3379	7177	4021
S_peak_42	1606	418	138	1276	4233	525	2524	764	104	956	386	2327	253	1020	353	2515	345	107	2526	11201	1639	5193	4	98	1161	4488	53	69	2412	4544	3816	2047	2895	4214	8850	3382	75	785	1998	1155	344	4961	9572	4844
S_peak_43	1890	417	231	4157	11405	14329	2332	507	107	915	1215	14073	430	2986	355	2409	320	2922	6845	114492	2235	10958	10	110	1208	4823	52	52	3393	8533	5528	4546	2876	4429	8370	3104	70	693	1659	1022	406	9800	9900	7989
S_peak_44	1623	419	183	1281	7204	2864	2334	507	110	1083	705	3715	342	2239	358	2488	321	105	4684	21961	2036	6322	3	107	1126	4148	58	54	2873	4261	4356	2127	2569	3867	5810	2958	72	726	1425	1029	358	4164	8296	4905
S_peak_45	1512	416	161	1288	5196	1177	2225	507	102	910	520	925	277	940	342	2391	314	101	3333	6622	1741	3233	7	101	1051	3869	44	51	2342	3183	3979	1432	2548	3483	8323	2797	61	670	1734	932	324	2632	8115	4004
S_peak_46	1848	417	196	2184	9376	6685	2297	507	116	911	939	6690	383	2415	349	2402	322	2887	5774	49771	2479	7335	5	105	1241	4322	49	55	3837	5556	6439	3127	3152	4185	9432	2968	72	691	2053	1011	477	5593	12187	5619
S_peak_47	1904	417	197	3931	9400	8666	2311	507	115	1004	974	7652	373	1615	350	2424	319	2922	5629	62523	2232	8670	12	104	1153	4369	47	49	3405	6586	5502	3171	2918	4140	8579	3064	70	709	1983	1013	400	6794	9713	6365
S_peak_48	1682	417	146	1278	7138	1368	2286	507	130	934	587	476	288	1117	347	2424	320	102	4338	5903	1643	3294	6	97	1040	4111	46	55	2129	3230	3393	1427	2351	3678	5932	2953	69	711	1321	954	318	2707	7185	4028
S_peak_49	1655	419	160	1280	6205	2863	2330	507	113	1214	606	4196	316	2576	350	2434	319	102	4093	21852	1819	6195	3	104	1097	4143	53	55	2654	4250	4033	2021	2421	3877	5555	2941	71	721	1275	1024	362	4126	7887	4495
S_peak_50	1680	420	155	1281	7292	1052	2344	507	116	936	692	1618	338	1438	364	2488	322	105	4752	15748	2060	4899	3	104	1114	4147	57	53	2705	3782	4172	1902	2616	3753	6898	2964	72	731	1559	1073	353	3421	8119	4626
S_peak_51	1897	419	227	1279	9237	690	2552	764	131	952	868	2144	347	1018	362	2509	343	107	6144	13444	3009	4917	17	105	1521	4748	61	66	5091	4228	8057	2010	4525	4133	19739	3311	88	774	3446	1159	558	3981	21359	4566
S_peak_52	1757	418	189	1281	6451	537	2532	764	113	957	623	3046	302	1672	355	2515	345	107	4545	16171	2143	5868	5	103	1335	4505	63	73	3350	4996	5320	2231	3561	4340	12044	3412	78	786	2604	1224	418	5472	13016	5041
S_peak_53	1481	417	108	1289	4129	744	2255	507	101	911	333	1032	262	768	341	2402	318	2735	2387	7237	1747	3954	3	101	1047	3982	38	51	2458	3420	4107	1517	2580	3682	7340	2891	71	688	1546	965	365	2797	8703	4017
S_peak_54	1793	417	194	2678	9081	12968	2299	507	101	915	962	10957	373	2732	354	2409	320	2922	5461	86795	1911	8585	9	108	1114	4597	48	50	2786	7072	4488	3437	2570	4145	7336	3058	70	689	1456	990	362	7979	8520	6953
S_peak_55	1448	419	100	1277	2975	416	2365	509	103	941	256	800	225	639	350	2496	319	107	1599	3578	1937	3451	8	101	1158	4363	49	58	2820	3382	4492	1579	3257	3768	13227	3026	80	738	2340	1046	373	2841	13301	4150
S_peak_56	1954	417	246	4158	12147	15207	2332	507	110	915	1302	14370	446	3123	362	2409	322	2922	7302	118029	2350	11452	10	110	1231	4826	53	52	3595	8751	5844	4775	2947	4457	8629	3115	71	693	1728	1038	428	9875	10384	8197
S_peak_57	1817	419	182	1280	8293	4272	2332	507	117	1208	794	4482	358	2688	352	2428	319	102	5560	22899	1995	6405	3	105	1128	4143	54	55	2922	4288	4374	1903	2515	3924	6896	2943	73	723	1398	1022	386	4036	8559	4558
S_peak_58	1506	416	156	1288	5138	1175	2225	507	102	910	512	924	276	938	342	2389	314	101	3288	6611	1729	3198	7	101	1046	3869	44	51	2299	3179	3918	1422	2526	3483	8195	2795	61	670	1703	932	320	2613	7980	4001
S_peak_59	1921	417	211	2186	10374	7559	2302	507	116	911	1070	7879	409	2434	358	2403	322	2887	6488	58940	2545	7844	6	106	1275	4366	49	55	3999	5907	6737	3261	3227	4232	10098	2989	72	691	2121	1022	488	6141	12571	5951
S_peak_60	3016	420	406	3442	24194	13964	2410	507	189	1141	2555	9558	657	3569	353	2428	325	102	16085	76600	3706	9836	15	109	1545	4306	69	67	5983	6400	9723	2951	4198	4290	17880	3179	77	730	3299	1079	644	5825	15851	5500
S_peak_61	1994	420	217	1278	11013	166	2345	507	128	937	1160	694	433	576	367	2488	321	105	7767	6804	2748	3523	5	99	1262	4127	61	52	3873	3482	5835	1521	3403	3669	14640	3009	74	724	2716	1091	451	2931	10780	4099
S_peak_62	1668	419	187	1278	6857	683	2374	509	122	941	674	1667	300	760	356	2496	319	107	4067	8937	2609	4080	15	103	1353	4365	55	58	4330	3802	6816	1908	4105	3834	17009	3037	87	738	3012	1065	487	3602	19342	4277
S_peak_63	1815	418	201	1281	6908	537	2532	764	113	957	660	3046	313	1672	355	2515	345	107	5099	17208	2233	5975	5	103	1370	4505	63	73	3511	5026	5636	2257	3665	4346	12971	3428	78	786	2738	1228	429	5482	13574	5206
S_peak_64	1485	416	155	1288	4978	1174	2225	507	101	910	496	924	264	937	342	2386	314	101	3169	5427	1706	3188	7	101	1035	3852	43	51	2230	3174	3825	1395	2503	3480	8045	2795	61	668	1665	932	316	2607	7812	3997
S_peak_65	1622	417	132	1290	5336	1708	2264	507	107	911	476	1168	291	1309	341	2402	319	102	3276	7688	1959	4194	4	101	1113	3982	43	52	2992	3517	5002	1596	2806	3780	8604	2891	69	688	1847	963	399	2918	10138	4051
S_peak_66	1741	417	144	2365	6508	4139	2279	507	112	1004	605	3930	301	1370	348	2424	319	102	3935	23156	1842	5381	10	98	1038	4096	42	48	2666	4239	4365	1765	2618	3745	6921	2969	70	709	1737	989	343	3372	8109	4487
S_peak_67	1783	419	179	1278	6889	687	2545	764	110	952	603	1913	299	784	353	2509	343	107	4865	9403	2733	4609	16	105	1421	4745	60	66	4267	3920	6950	1791	4305	4107	20202	3317	84	774	3348	1156	503	3289	19927	4615
S_peak_68	1720	419	150	1277	5777	166	2522	764	108	956	520	1527	292	1132	355	2515	344	107	4324	10349	1990	4532	6	103	1248	4431	54	67	2821	4170	4515	1795	3231	4116	10129	3331	77	779	2100	1158	375	3807	11237	4557
S_peak_69	1794	417	192	3750	9085	11050	2303	507	102	915	943	10644	373	2520	354	2409	320	2922	5498	82505	2012	9120	10	108	1137	4578	48	50	2937	7175	4783	3463	2686	4182	7823	3068	70	692	1551	1012	367	8223	8876	7092
S_peak_70	2019	417	271	1697	11916	7271	2308	507	129	911	1250	6418	440	2683	349	2402	322	2888	7829	48830	2978	7122	8	103	1394	4228	56	58	4682	5299	8024	3013	3705	4171	13646	2950	76	691	2792	1035	546	5086	14814	5393
S_peak_71	3565	420	605	4346	34842	22623	2440	507	224	1288	3736	19162	933	7778	379	2488	330	2925	23640	145427	5263	17574	20	121	1924	4784	102	71	8830	9750	13996	4772	5272	4912	22666	3320	81	744	4131	1254	858	10710	21607	8266
S_peak_72	2528	419	387	1279	18264	701	2564	764	155	953	1898	2676	570	1034	376	2509	344	107	13114	19107	4592	5597	20	105	1894	4754	86	66	7720	4576	11990	2051	6006	4183	31207	3383	90	776	5256	1291	770	4304	27252	4798
S_peak_73	1815	418	201	1281	6908	537	2532	764	113	957	660	3046	313	1672	355	2515	345	107	5099	17208	2233	5975	5	103	1370	4505	63	73	3511	5026	5636	2257	3665	4346	12971	3428	78	786	2738	1228	429	5482	13574	5206
S_peak_74	5889	421	1292	5254	67159	30993	2767	764	344	1310	7342	31602	1667	11660	419	2515	361	5713	48033	234123	11725	27777	45	136	3822	5863	200	107	20988	15470	33761	8007	12759	6624	69422	4048	117	816	12074	1847	1855	18212	61955	12452
S_peak_75	2085	417	273	5238	13831	19152	2339	507	116	989	1490	16285	487	3925	366	2410	322	2922	8487	129655	2655	12911	15	110	1290	4932	55	52	4194	9347	6859	4972	3275	4546	10108	3192	71	696	2133	1066	467	10365	11738	8465
S_peak_76	1643	419	159	1280	6256	2866	2333	507	112	1083	636	3826	317	2352	353	2434	320	105	4143	20303	1860	6225	3	104	1109	4156	53	54	2666	4207	4084	2009	2407	3866	5394	2954	71	721	1286	1063	362	4149	7922	4475
ORF3a_peak	1713	418	164	1493	5627	908	2562	764	111	955	526	2829	293	1822	359	2516	346	406	3604	10232	1750	5947	4	98	1199	4609	45	64	2686	4705	4442	2587	2879	4318	7477	3410	77	798	1931	1190	363	4854	9137	5107
ORF3a_peak_2	2318	421	274	1495	11197	925	2597	772	125	982	998	3514	430	1827	362	2624	349	410	7787	11847	2448	6334	4	98	1430	4699	53	64	4113	5003	6567	2641	3647	4488	13376	3466	83	806	2832	1235	474	4978	13877	5352
ORF3a_peak_3	1680	418	147	1383	4977	527	2524	764	111	955	466	2506	279	1729	359	2511	345	107	3096	8993	1652	5588	4	98	1151	4526	42	64	2414	4512	3983	2415	2688	4265	6629	3379	77	789	1758	1188	346	4653	8365	5032
ORF3a_peak_4	1662	421	119	1384	4490	539	2578	772	105	982	319	724	272	573	362	2624	347	410	2659	4705	1471	3833	2	98	1094	4583	41	61	1989	3809	2976	1681	2425	4110	6381	3396	74	803	1414	1102	300	3117	7198	4352
ORF3a_peak_5	1630	418	125	1383	3796	153	2547	764	106	955	318	1665	252	885	359	2514	345	404	2143	5662	1439	4458	3	98	1080	4586	39	62	1944	4043	3184	2003	2432	4122	4935	3368	75	793	1327	1090	304	3745	6998	4624
ORF3a_peak_6	1619	417	138	1382	4640	527	2523	764	109	955	421	2461	269	1728	359	2511	344	107	2828	8411	1610	5365	4	98	1141	4509	42	64	2321	4429	3806	2325	2632	4221	6376	3367	77	789	1687	1182	339	4508	8111	4900
ORF3a_peak_7	1604	417	127	1382	4321	152	2523	764	106	955	371	2458	258	1639	357	2511	344	107	2556	8349	1541	5094	4	98	1115	4509	41	64	2177	4321	3543	2220	2564	4184	6088	3366	75	789	1597	1173	325	4297	7660	4779
ORF3a_peak_8	1509	417	108	1272	3724	524	2514	764	103	955	315	1937	251	1326	357	2511	343	107	2179	5362	1471	4687	4	98	1084	4463	40	63	1974	4145	3177	2207	2430	4132	5900	3355	74	785	1525	1178	309	4024	7073	4554
ORF3a_peak_9	2242	421	240	1495	9608	549	2596	772	120	982	803	2029	391	980	362	2624	349	410	6487	8507	2166	4939	3	98	1323	4699	49	62	3447	4328	5405	1977	3248	4316	11141	3441	80	805	2275	1137	419	3856	11863	4888
ORF3a_peak_10	1669	418	140	1383	4190	154	2547	764	107	955	370	1899	263	1195	359	2514	345	404	2546	7019	1493	4923	3	98	1104	4546	40	62	2098	4145	3408	2185	2499	4198	5282	3366	76	793	1453	1099	316	4088	7449	4715
ORF3a_peak_11	2066	421	225	1495	8846	921	2584	772	120	982	789	3098	375	1825	362	2624	349	410	6048	11691	2129	6264	4	98	1328	4688	50	64	3503	4986	5540	2637	3307	4432	10852	3446	80	804	2448	1218	426	4960	11721	5352
ORF3a_peak_12	1574	421	110	1384	3766	535	2563	764	102	955	313	1085	258	570	362	2516	345	410	2184	5265	1453	4317	3	98	1088	4620	40	61	1948	3957	3076	1930	2471	4116	5644	3396	74	799	1412	1098	304	3422	6921	4609
ORF3a_peak_13	2318	421	274	1495	11197	925	2597	772	125	982	998	3514	430	1827	362	2624	349	410	7787	11847	2448	6334	4	98	1430	4699	53	64	4113	5003	6567	2641	3647	4488	13376	3466	83	806	2832	1235	474	4978	13877	5352
