	S0008	S0009	S0014	S0017	S0025	S0026	S0030	S0042	S0057	S0085
N_peak	-1.4195388915137848	3.094327382548153	-5.804826981966457	-1.7729466950452955	2.8371669733541984	3.443329088538686	3.4180201239527017	2.7836539547304744	0.17124192991430323	2.4337740618604298
N_peak_10	-0.8507834569520284	4.094327382548153	-5.197405737864419	-1.772097597271274	2.935536407389297	2.5895207826834605	1.6743615857742629	2.7864299706743267	0.1655860657179751	1.1358592482003864
N_peak_11	-2.074676686294496	4.657112286476991	-3.7145591811179264	-1.777989435959365	2.8698867052518424	3.204981737787629	1.0999957899767214	2.8095399963729055	0.1616921496134839	1.556074044579987
N_peak_12	-1.4480000794120609	4.036723106005525	-1.1265784844367652	-1.7939368537666542	2.918386234446348	3.147463427333815	2.6677401765056143	2.8368041640106725	0.15393570597904943	2.5287011463268487
N_peak_13	-2.4920141923089485	3.4995710094905115	-2.2466350975538383	-1.7944654102997286	2.7548875021634687	3.1560908334017634	2.9305742198012914	2.838393327058329	0.15007306634665044	2.597607208052896
N_peak_14	-2.1763548507078334	4.270089163367744	0.599944496450156	-1.8034213695683696	2.8618027060799807	3.304902555426202	1.2354070045247767	2.838393327058329	0.15007306634665044	1.5463596614974089
N_peak_15	-0.905478463035979	3.881818573651686	-6.441363325875981	-1.7971052921724324	2.8729432636851806	2.0041877969634334	1.9190311584807305	2.838393327058329	0.15393570597904943	1.4074461660734194
N_peak_16	-2.4902330006615125	3.783606319284995	-5.275955164258044	-1.8196110584739063	2.7579375985234185	1.9411621763084352	2.5664830801134957	2.8270780138304947	0.1385468129656229	1.8121514063013717
N_peak_2	-1.673871916583352	2.7959861079784067	-2.1288838023390277	-1.7729466950452955	2.7934455959248803	3.9332856554393887	3.4109678349697967	2.7754647850741514	0.16729474539764047	2.3765122039615982
N_peak_3	-2.568116829283233	2.92121737710762	-0.7979449313412749	-1.7654270463860027	2.8708500996104873	4.309559537456944	2.9481742770099784	2.7792763990241705	0.17733127339107424	2.717155577666215
N_peak_4	-2.121262882742724	3.7646219370690717	-1.8297975305231968	-1.7586168877031279	3.001553791255081	4.087462841250339	2.6361412246467193	2.783098109976579	0.17733127339107424	1.6382747382542886
N_peak_5	-2.527613159827543	2.9200764557030507	-4.007914835680855	-1.783324852694528	2.93400244122576	3.0145231121766702	3.360256213546462	2.7792763990241705	0.17340557017727434	1.7412317645317386
N_peak_6	-2.7731145976391716	3.0	-3.846961738352306	-1.7731706319365	2.8749813476537747	3.056564882993596	3.6227998289998125	2.783098109976579	0.17340557017727434	1.9850885058568466
N_peak_7	-2.2154545210472736	3.9639307452924784	-1.2371344404130074	-1.7661815981332913	2.9954078633666956	3.8623115034899054	2.6312776936336966	2.783098109976579	0.1655860657179751	2.2624938344014196
N_peak_8	-2.165131990253413	3.690211825466464	0.515586716603701	-1.7640242967355917	2.9954078633666956	4.6086709276338675	3.041087192043199	2.783098109976579	0.1616921496134839	1.9236234127985656
N_peak_9	-2.272275794240264	3.6455692654253085	-1.0832108030040344	-1.7742428691028307	2.9954078633666956	3.631117077944047	1.7644463305883131	2.7858751946471525	0.1655860657179751	1.9855607401759146
ORF10_peak	-2.4732752687753585	3.8769323164671956	-3.018750091166325	-1.83150644256702	2.7997577742180457	5.02503363697692	4.748831775658756	2.845687082111352	0.13472510201321447	3.2885371973760344
S_peak	-1.6415016732731318	4.135480896209665	-1.7670228280223859	-2.1178925053213695	3.2774833182125573	3.479751603016893	2.364363361207759	2.7887309571352628	3.1871786827741246	2.701556499289019
S_peak_2	-1.866900864279833	3.9505610672654954	0.6216418467789545	-2.14268841716851	3.1533039069918276	3.337010310427212	2.1625945047127653	2.7430001803691377	-1.659924558402378	3.914646660156838
S_peak_3	-1.644824580786414	5.029133822210709	-3.6137388771413352	-2.121836093310074	3.2774833182125573	2.611434712082347	2.5313426622256	2.783698413060577	-1.6507645591169025	1.8921695683003872
S_peak_4	-1.6916305620176395	4.017019800704534	-3.7806581841936038	-2.121836093310074	3.2140579380709235	2.4438786271651542	1.3164216185808189	2.7660505472411523	-1.6507645591169025	3.024820267347864
S_peak_5	-1.6678730708932603	4.212276092103468	-3.4854268271702415	-2.1192082327640356	3.2902192351600243	2.8041310211833177	1.4811266897366162	2.7660505472411523	-1.6507645591169025	1.886520841570668
S_peak_6	-1.652548396777091	4.299560281858908	-3.480067312593759	-2.1198656467835635	3.229654793121942	1.8228586597584524	1.4103579783389737	2.7704423163583103	-1.6507645591169025	1.292429290165121
S_peak_7	-1.6964613305453802	4.0286144850391095	-1.2376653942119735	-2.1517173829696357	3.405992359675837	2.7197310567498523	2.0235135945008866	2.7813597135246595	-1.6507645591169025	2.4200097932418974
S_peak_8	-1.7321370621493766	3.905758626118599	-4.039404967270778	-2.152360151989352	3.1996723448363644	1.78021879212009	1.2195270876420585	2.7808015030162876	-1.659924558402378	1.897725556147484
