sample	human	virus	m6A_pos	m6A_neg
COV00075_IN	27250184	108110	480	1408
COV00075_RIP	26050962	163134	19355	338
COV00079_IN	12088638	400	4	6
COV00079_RIP	18805992	890	265	4
COV00084_IN	27090102	35282	265	838
COV00084_RIP	20603630	127276	7428	86
COV00087_IN	26092206	1330	2	4
COV00087_RIP	15355022	1018	160	2
COV00093_IN	33388874	178060	386	1160
COV00093_RIP	20755650	81920	7967	284
COV00106_IN	23930242	318100	541	1435
COV00106_RIP	19059968	49364	4228	318
COV00397_IN	28240130	130296	418	1167
COV00397_RIP	20265244	48836	6945	257
COV00413_IN	22591048	756326	422	1259
COV00413_RIP	17656918	32190	6582	14
COV00417_IN	24836246	1126	6	15
COV00417_RIP	20887672	5030	1419	9
COV00419_IN	19853528	131452	60	225
COV00419_RIP	17572096	15802	4609	10
COV00422_IN	24786010	16392	45	120
COV00422_RIP	21499650	85740	11020	118
COV00432_IN	27578196	608382	736	2225
COV00432_RIP	21472184	87726	11347	114
S0008_IN	27265564	85582	10389	15584
S0008_RIP	5494336	27248	137902	2306
S0009_IN	29661556	12708	630	1091
S0009_RIP	4929218	38676	71585	468
S0014_IN	43763364	620804	6215	8138
S0014_RIP	3311182	123786	27266	345
S0017_IN	43566924	91730	10042	13102
S0017_RIP	6158908	17818	31815	43
S0025_IN	29796918	2358	803	1111
S0025_RIP	14440762	10136	60423	413
S0026_IN	43006118	53880	225	294
S0026_RIP	24413036	275178	85991	1345
S0030_IN	54371412	15216	268	507
S0030_RIP	27204990	151912	74193	670
S0042_IN	14192864	1688	5932	7349
S0042_RIP	29314258	11646	151970	3426
S0057_IN	26978922	12854	869	1303
S0057_RIP	15559916	49612	283148	166
S0085_IN	24242912	417736	1708	2421
S0085_RIP	38225844	1239296	168032	2560
