chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value	ensembl
chr1	169853621	169853670	DDX11L1	0	-	169853621	169853670	0	1	49	0	4.80402104868872	9.81274174646218e-05	ENSG00000000457.14
chr6	53498437	53498486	WASH7P	0	-	53498437	53498486	0	1	49	0	1.09289798740744	0.000167445799765797	ENSG00000001084.13
chr7	92319351	92319400	MIR6859-1	0	+	92319351	92319400	0	1	49	0	5.20948615284141	0.00102141491712471	ENSG00000001629.10
chr7	92398338	92398387	MIR6859-1	0	+	92398338	92398387	0	1	49	0	0.950192283583678	0.000267855499297309	ENSG00000001629.10
chr17	48121593	48121642	MIR1302-2HG	0	+	48121593	48121642	0	1	49	0	5.96100533962328	0.000257059343102828	ENSG00000002919.14
chr2	201757551	201757600	MIR1302-2	0	-	201757551	201757600	0	1	49	0	0.830939338045324	0.00400799876068814	ENSG00000003393.15
chr2	201760946	201760995	MIR1302-2	0	-	201760946	201760995	0	1	49	0	1.10279639519063	0.00281037483055901	ENSG00000003393.15
chr2	201761345	201761394	MIR1302-2	0	-	201761345	201761394	0	1	49	0	-1.57365896834207	0.00302961203846586	ENSG00000003393.15
chr2	201209427	201209476	FAM138A	0	+	201209427	201209476	0	1	49	0	4.97673374242057	0.00155330407734633	ENSG00000003400.15
chr2	201129982	201130031	OR4G4P	0	+	201129982	201130031	0	1	49	0	1.64690884386422	0.00169837154276542	ENSG00000003402.20
chr2	201168096	201168145	OR4G4P	0	+	201168096	201168145	0	1	49	0	5.49306144334055	0.000609471385410454	ENSG00000003402.20
chr17	28347325	28347374	OR4G11P	0	-	28347325	28347374	0	1	49	0	1.12467239533798	0.00356102163633565	ENSG00000004142.12
chr17	28347523	28347572	OR4G11P	0	-	28347523	28347572	0	1	49	0	-1.94591014888378	0.00392047536079287	ENSG00000004142.12
chr1	23083490	23083539	OR4F5	0	+	23083490	23083539	0	1	49	0	0.885893254689785	0.00311126252253746	ENSG00000004487.17
chr3	49967756	49967805	AL627309.1	0	+	49967756	49967805	0	1	49	0	-2.02904752797853	0.00392090024590164	ENSG00000004534.15
chr3	49968306	49968355	AL627309.1	0	+	49968306	49968355	0	1	49	0	0.849977031447251	0.0011110420352356	ENSG00000004534.15
chr17	47120741	47120790	AL627309.3	0	-	47120741	47120790	0	1	49	0	1.02758298701705	0.00117943435679313	ENSG00000004897.12
chr19	18846042	18846091	CICP27	0	+	18846042	18846091	0	1	49	0	2.31958266936203	0.000457459092024548	ENSG00000005007.13
chr17	35006157	35006206	AL627309.6	0	+	35006157	35006206	0	1	49	0	-0.773393907411993	0.000584378311904832	ENSG00000005156.12
chr19	2353552	2353601	AL627309.7	0	+	2353552	2353601	0	1	49	0	5.66988092298051	0.000440486449450939	ENSG00000005206.17
chr16	3727750	3727799	AL627309.2	0	-	3727750	3727799	0	1	49	0	-0.774116243093611	0.00179483896743371	ENSG00000005339.15
chr16	3728350	3728399	AL627309.2	0	-	3728350	3728399	0	1	49	0	2.77372444116517	0.00309012046426149	ENSG00000005339.15
chr16	3728499	3728548	AL627309.2	0	-	3728499	3728548	0	1	49	0	0.749129815310881	0.00180211726543256	ENSG00000005339.15
chr16	3728699	3728748	AL627309.2	0	-	3728699	3728748	0	1	49	0	-6.59987049920347	1.52677359083198e-05	ENSG00000005339.15
chr7	105109037	105109086	AL627309.5	0	+	105109037	105109086	0	1	49	0	1.37054600418498	0.000196594447775644	ENSG00000005483.21
chr6	82214468	82214517	RNU6-1100P	0	-	82214468	82214517	0	1	49	0	-2.21355147062365	0.000256971393670979	ENSG00000005700.15
chr6	82214667	82214716	RNU6-1100P	0	-	82214667	82214716	0	1	49	0	2.29918950461606	0.0029797793800892	ENSG00000005700.15
chr11	3360355	3360404	AL627309.4	0	-	3360355	3360404	0	1	49	0	0.564241856324701	0.000779152428810103	ENSG00000005801.18
chr13	77007624	77007673	FO538757.1	0	-	77007624	77007673	0	1	49	0	-5.11799381225573	0.00233082097709492	ENSG00000005812.11
chrX	24207386	24207435	WASH9P	0	+	24207386	24207435	0	1	49	0	0.804372815670169	0.00097926098339074	ENSG00000005889.15
chr17	35723667	35723716	MIR6859-2	0	+	35723667	35723716	0	1	49	0	-1.64750986033299	0.00405213026127404	ENSG00000006125.18
chr16	3289538	3289587	AP006222.1	0	+	3289538	3289587	0	1	49	0	-1.3721764795741	0.00126517481057897	ENSG00000006194.10
chr16	3290431	3290480	AP006222.1	0	+	3290431	3290480	0	1	49	0	5.67332326716212	5.71972919916063e-07	ENSG00000006194.10
chr11	68028187	68028236	AP006222.2	0	+	68028187	68028236	0	1	49	0	0.803495237728809	0.0026889805831628	ENSG00000006534.16
chr7	87907706	87907755	RPL23AP24	0	+	87907706	87907755	0	1	49	0	0.727490401760099	0.000445199038570765	ENSG00000006634.8
chr19	39386179	39386228	AL732372.1	0	-	39386179	39386228	0	1	49	0	-1.06635142649319	0.000183374532545688	ENSG00000006712.15
chr19	39386429	39386478	AL732372.1	0	-	39386429	39386478	0	1	49	0	-1.00680473941499	0.000382727302233876	ENSG00000006712.15
chr17	28633963	28634012	AL732372.2	0	-	28633963	28634012	0	1	49	0	6.72743172484148	3.67297425807322e-09	ENSG00000007202.15
chr17	28634593	28634642	AL732372.2	0	-	28634593	28634642	0	1	49	0	-2.0193376176476	0.002152560123719	ENSG00000007202.15
