0	S0008_IN	S0008_RIP	S0009_IN	S0009_RIP	S0014_IN	S0014_RIP	S0017_IN	S0017_RIP	S0025_IN	S0025_RIP	S0026_IN	S0026_RIP	S0030_IN	S0030_RIP	S0042_IN	S0042_RIP	S0057_IN	S0057_RIP	S0085_IN	S0085_RIP	COV00075_IN	COV00075_RIP	COV00079_IN	COV00079_RIP	COV00084_IN	COV00084_RIP	COV00087_IN	COV00087_RIP	COV00093_IN	COV00093_RIP	COV00106_IN	COV00106_RIP	COV00397_IN	COV00397_RIP	COV00413_IN	COV00413_RIP	COV00417_IN	COV00417_RIP	COV00419_IN	COV00419_RIP	COV00422_IN	COV00422_RIP	COV00432_IN	COV00432_RIP
win.0	521	0	40	0	2400	1	15	0	3	0	135	1441	52	753	4	1	0	1	2074	5181	350	381	0	0	112	73	2	1	469	149	1524	190	532	207	1621	95	3	21	388	18	62	140	4381	315
win.1	486	0	59	0	3062	1	20	0	10	0	167	1118	58	775	2	1	0	1	2274	6139	418	412	0	0	140	73	4	1	581	141	1878	108	556	183	1735	104	1	25	379	18	75	187	4588	198
win.2	401	0	76	2	3395	1	20	0	13	0	211	1068	58	594	2	3	0	4	2380	5884	444	337	0	2	164	73	6	1	662	137	2203	101	419	109	1651	77	1	23	310	12	89	169	3612	106
win.3	407	0	82	2	3337	5	23	0	16	0	225	2328	63	618	2	3	0	4	2286	4463	507	454	0	2	182	77	7	1	703	185	2342	106	431	135	1904	90	3	21	355	22	96	126	3843	117
win.4	436	0	91	2	3778	9	31	0	18	0	239	2498	79	716	2	2	0	1	2594	4702	523	517	0	8	181	81	8	1	801	241	2551	258	500	139	2231	125	4	25	384	24	98	195	4267	148
win.5	475	1	108	2	4038	9	30	0	19	2	252	2760	96	1377	2	3	0	1	2731	5303	608	641	0	8	218	81	9	1	878	259	2663	281	548	133	2475	130	4	25	436	34	90	210	4646	132
win.6	423	1	113	4	4465	9	30	0	13	4	245	1752	104	1379	2	3	1	1	3301	7626	754	724	1	8	246	92	11	2	1024	263	3024	160	612	151	2737	117	3	25	438	25	105	217	5170	150
win.7	311	1	92	5	3322	13	18	0	9	4	189	1009	84	1658	2	3	1	1	2379	6927	675	721	1	8	215	96	7	2	865	259	2558	365	515	174	2557	96	2	23	381	25	97	210	4384	137
win.8	456	1	104	5	3931	15	21	0	15	4	206	2355	97	1212	4	3	2	1	3088	6297	705	794	1	8	214	103	4	1	1028	301	2908	442	543	213	2710	94	4	23	404	16	106	289	4880	135
win.9	467	1	82	4	3735	16	20	0	10	4	199	2694	104	1841	4	3	3	2	2699	4423	617	772	1	8	191	185	7	1	966	306	2452	375	506	196	2138	104	3	23	331	40	103	401	4314	97
win.10	524	1	99	5	3872	17	44	0	7	7	192	4227	102	1895	13	9	4	2	2861	6634	671	868	1	8	191	185	10	1	1084	355	2623	215	540	219	2224	106	2	25	360	42	106	391	4469	108
win.11	590	1	123	5	5042	15	59	0	22	7	247	3336	79	1773	13	9	6	2	3205	7529	803	1140	3	8	194	173	11	2	1296	424	3162	238	586	247	2382	114	3	25	394	64	128	504	5297	111
win.12	453	1	111	5	4138	16	36	0	24	5	214	2684	61	1390	5	3	4	2	2979	7062	662	987	3	8	147	91	5	2	1063	417	2774	167	535	238	2125	95	2	25	368	45	104	414	4430	271
win.13	445	2	109	4	4201	15	45	0	21	6	234	3053	70	1159	5	4	4	2	2822	5677	789	1027	3	8	184	100	8	2	1212	476	3125	480	599	246	2469	144	2	30	439	69	110	473	4972	312
win.14	302	2	70	5	3276	14	43	0	23	6	184	3002	57	1339	6	4	4	2	2172	5142	725	982	4	8	171	193	9	1	1012	370	2483	404	564	239	2194	155	2	31	419	52	95	417	3960	278
win.15	367	2	98	7	4415	14	64	0	31	6	251	3796	75	1347	5	4	4	2	2988	6690	886	1200	3	8	209	223	9	1	1149	538	2994	353	600	241	2517	165	7	33	519	64	118	479	4593	280
win.16	318	2	86	7	3228	14	58	0	16	10	213	2768	57	960	5	6	4	2	2244	5466	760	890	2	8	190	226	8	1	984	405	2511	112	510	202	2141	155	7	32	476	84	106	285	4012	281
win.17	247	2	66	6	2259	24	34	0	12	10	179	1011	50	340	5	6	4	2	1947	2389	740	758	2	8	195	171	10	1	1023	339	2635	101	533	177	2354	153	7	35	536	82	82	280	4101	317
win.18	205	2	53	6	1971	25	26	0	13	10	175	947	39	341	6	6	4	2	1834	2631	602	653	2	8	154	145	6	1	822	220	2018	213	486	159	2402	155	4	35	498	62	70	252	3515	139
win.19	214	2	58	6	2384	24	54	0	18	10	223	925	51	342	6	6	5	2	2205	3534	916	1007	2	8	227	163	6	1	1133	358	2824	234	608	215	3612	207	8	39	712	62	100	245	4590	161
win.20	149	2	46	6	1872	26	55	0	15	10	186	407	43	341	6	6	5	2	1564	3079	853	830	1	8	195	139	6	1	994	317	2466	211	582	223	3662	206	6	39	684	60	98	175	4093	131
win.21	105	3	28	6	788	41	147	9	5	14	66	207	26	348	5	8	19	3	702	1729	665	868	1	14	193	506	4	4	822	474	1934	260	591	574	4536	373	4	65	684	112	69	432	3552	163
