	chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
1	chr2	69458245	69458294	AAK1	0	-	69458245	69458294	0	1	49	0	-1.32580559963923	0.00176598679715312
2	chr20	36240146	36240195	AAR2	0	+	36240146	36240195	0	1	49	0	-0.742744121699319	0.00255973385777608
3	chr7	48275737	48275786	ABCA13	0	+	48275737	48275786	0	1	49	0	-3.52636052445514	0.000618634275591279
4	chrX	153725759	153725808	ABCD1	0	+	153725759	153725808	0	1	49	0	4.26267987704131	0.000104313746514428
5	chr7	151213100	151213149	ABCF2	0	-	151213100	151213149	0	1	49	0	5.78382518232049	5.67218800151537e-07
6	chr3	111991646	111991695	ABHD10	0	+	111991646	111991695	0	1	49	0	-0.59431607031943	0.00159538224701028
7	chr7	73736338	73736387	ABHD11	0	-	73736338	73736387	0	1	49	0	-0.85618680780445	0.000485824690671821
8	chr13	108218465	108218514	ABHD13	0	+	108218465	108218514	0	1	49	0	3.68887945410457	6.05052202051759e-06
9	chr13	108229598	108229647	ABHD13	0	+	108229598	108229647	0	1	49	0	0.92676203174145	0.000930312946919809
10	chr17	29562397	29562446	ABHD15	0	-	29562397	29562446	0	1	49	0	1.93822765288349	0.000902682904488139
11	chr19	1877025	1877074	ABHD17A	0	-	1877025	1877074	0	1	49	0	-1.52305329823528	0.000346327096124588
12	chr9	130714030	130714079	ABL1	0	+	130714030	130714079	0	1	49	0	1.40378751856741	0.000526067197911373
13	chr9	130886386	130886435	ABL1	0	+	130886386	130886435	0	1	49	0	-1.0192055110637	0.00103139085046244
14	chr1	226146313	226146362	ACBD3	0	-	226146313	226146362	0	1	49	0	1.9335896646652	0.00431894836707647
15	chr1	226146659	226146708	ACBD3	0	-	226146659	226146708	0	1	49	0	-2.05586059908177	0.000846342313007175
16	chr22	41528591	41528640	ACO2	0	+	41528591	41528640	0	1	49	0	-1.65822807660353	0.000213537503941263
17	chr16	89154298	89154347	ACSF3	0	+	89154298	89154347	0	1	49	0	4.11087386417331	0.00228156773755161
18	chr2	222941519	222941568	ACSL3	0	+	222941519	222941568	0	1	49	0	0.846792937377233	0.00341480998501642
19	chr2	222941717	222941766	ACSL3	0	+	222941717	222941766	0	1	49	0	5.01727983680556	1.22565433346988e-06
20	chr14	68979117	68979166	ACTN1	0	-	68979117	68979166	0	1	49	0	1.16315080980568	0.00116692012052788
21	chr10	102480566	102480615	ACTR1A	0	-	102480566	102480615	0	1	49	0	0.943127385827715	0.00168580254652617
22	chr1	155062677	155062726	ADAM15	0	+	155062677	155062726	0	1	49	0	1.3178682224336	0.00041385034530661
