chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value	ensembl
chr1	169851925	169851974	SCYL3	0	-	169851925	169851974	0	1	49	0	-2.30258509288049	0.0132992782653236	ENSG00000000457.14
chr1	169853771	169854317	SCYL3	0	-	169853771	169854317	0	2	2,48	0,499	-0.747214401826028	0.0589832198953719	ENSG00000000457.14
chr6	41097750	41097799	NFYA	0	+	41097750	41097799	0	1	49	0	-0.336472236624085	0.175778759581895	ENSG00000001167.14
chr6	41097948	41097997	NFYA	0	+	41097948	41097997	0	1	49	0	-1.06289420607151	0.0121585204106572	ENSG00000001167.14
chr6	41098294	41098442	NFYA	0	+	41098294	41098442	0	1	148	0	-0.362114667082927	0.819307024500381	ENSG00000001167.14
chr6	41098838	41098887	NFYA	0	+	41098838	41098887	0	1	49	0	-0.503905180921417	0.0123615124138903	ENSG00000001167.14
chrX	65529654	65529703	LAS1L	0	-	65529654	65529703	0	1	49	0	0.0444517625708551	0.831975135915014	ENSG00000001497.16
chr3	50188329	50188578	SEMA3F	0	+	50188329	50188578	0	1	249	0	0.823767362977009	0.519918544649789	ENSG00000001617.12
chr7	92246423	92294514	ANKIB1	0	+	92246423	92294514	0	2	97,53	0,48039	-0.910211685797773	0.389113510656164	ENSG00000001629.10
chr7	92294937	92294986	ANKIB1	0	+	92294937	92294986	0	1	49	0	-0.405465108108164	0.309667435158374	ENSG00000001629.10
chr7	92307479	92307528	ANKIB1	0	+	92307479	92307528	0	1	49	0	-0.432420919065367	0.272057600296541	ENSG00000001629.10
chr7	92398338	92398437	ANKIB1	0	+	92398338	92398437	0	1	99	0	-0.903442589394992	0.00610951124354185	ENSG00000001629.10
chr7	92398488	92398537	ANKIB1	0	+	92398488	92398537	0	1	49	0	-0.49740260343385	0.00696657979727655	ENSG00000001629.10
chr7	92398638	92398837	ANKIB1	0	+	92398638	92398837	0	1	199	0	-0.276558488569136	0.398279338778217	ENSG00000001629.10
chr7	92398888	92398937	ANKIB1	0	+	92398888	92398937	0	1	49	0	-0.79652553501378	0.000930996838288234	ENSG00000001629.10
chr7	92245670	92245719	KRIT1	0	-	92245670	92245719	0	1	49	0	-1.85059996976166	0.040536637459364	ENSG00000001631.15
chr11	64270318	64271642	BAD	0	-	64270318	64271642	0	2	20,30	0,1295	0.265703164383593	0.438911809968991	ENSG00000002330.13
chrX	2726309	2726358	CD99	0	+	2726309	2726358	0	1	49	0	1.42138568093116	0.107541559279134	ENSG00000002586.20
chrY	2726309	2726358	CD99	0	+	2726309	2726358	0	1	49	0	1.42138568093116	0.107541559279134	ENSG00000002586.20_PAR_Y
chr7	43444400	43444449	HECW1	0	+	43444400	43444449	0	1	49	0	1.07880966137193	0.165707665667464	ENSG00000002746.15
chr7	43444500	43444699	HECW1	0	+	43444500	43444699	0	1	199	0	0.965080896028852	0.00284571751170959	ENSG00000002746.15
chr7	43444899	43444948	HECW1	0	+	43444899	43444948	0	1	49	0	0.123613955966098	0.817783878634084	ENSG00000002746.15
chr7	43444999	43445048	HECW1	0	+	43444999	43445048	0	1	49	0	-0.693147181718128	0.357535413853692	ENSG00000002746.15
chr7	43445449	43445498	HECW1	0	+	43445449	43445498	0	1	49	0	-0.141650517105656	0.826347051066431	ENSG00000002746.15
chr7	2215911	2215960	MAD1L1	0	-	2215911	2215960	0	1	49	0	0.659245628884263	0.150481349983574	ENSG00000002822.15
chr7	2216167	2216216	MAD1L1	0	-	2216167	2216216	0	1	49	0	-0.584513340501531	0.43991541183142	ENSG00000002822.15
chr7	2218041	2219378	MAD1L1	0	-	2218041	2219378	0	2	3,47	0,1291	0.411507422564123	0.360985936530892	ENSG00000002822.15
chr17	38870157	38870206	LASP1	0	+	38870157	38870206	0	1	49	0	-0.759838555058856	0.166481316553263	ENSG00000002834.18
chr12	8940560	8940609	M6PR	0	-	8940560	8940609	0	1	49	0	0.0303053494809048	0.877538442994677	ENSG00000003056.8
chrX	117909499	117909548	KLHL13	0	-	117909499	117909548	0	1	49	0	-0.836248024833606	0.0444999607361454	ENSG00000003096.14
chrX	117909749	117909947	KLHL13	0	-	117909749	117909947	0	1	198	0	-1.49850635172685	0.00016882730973894	ENSG00000003096.14
chr2	201701016	201701065	ALS2	0	-	201701016	201701065	0	1	49	0	-0.998528830120629	0.0112200413901613	ENSG00000003393.15
chr2	201760996	201761045	ALS2	0	-	201760996	201761045	0	1	49	0	-0.751416088684237	0.206705793293546	ENSG00000003393.15
chr2	201761195	201761244	ALS2	0	-	201761195	201761244	0	1	49	0	-0.26101382536962	0.176015125237111	ENSG00000003393.15
chr2	201761295	201761344	ALS2	0	-	201761295	201761344	0	1	49	0	-0.292987124681604	0.183173277736712	ENSG00000003393.15
chr2	201761545	201761594	ALS2	0	-	201761545	201761594	0	1	49	0	-0.305381649608799	0.327373823560528	ENSG00000003393.15
chr2	201761695	201761744	ALS2	0	-	201761695	201761744	0	1	49	0	-0.390866308687713	0.188559710966772	ENSG00000003393.15
chr2	201116354	201116858	CFLAR	0	+	201116354	201116858	0	2	128,22	0,483	-0.646627164937925	0.563908265882843	ENSG00000003402.20
chr2	201129932	201130081	CFLAR	0	+	201129932	201130081	0	1	149	0	0.30166831442652	0.911189706916614	ENSG00000003402.20
chr2	201137670	201137719	CFLAR	0	+	201137670	201137719	0	1	49	0	0.624154309072992	0.129184212971222	ENSG00000003402.20
chr2	201167796	201167845	CFLAR	0	+	201167796	201167845	0	1	49	0	-0.358945092473694	0.584406143829294	ENSG00000003402.20
chr2	201169345	201169394	CFLAR	0	+	201169345	201169394	0	1	49	0	-0.626455806065419	0.445134890676852	ENSG00000003402.20
chr2	37248294	37248343	NDUFAF7	0	+	37248294	37248343	0	1	49	0	-0.165514438477619	0.720565742337489	ENSG00000003509.16
chr3	50089019	50089891	RBM5	0	+	50089019	50089891	0	2	39,11	0,862	-0.0769610411295236	0.743865397734499	ENSG00000003756.17
chr3	50092056	50092205	RBM5	0	+	50092056	50092205	0	1	149	0	0.227389842192106	0.76957320308948	ENSG00000003756.17
chr3	50093750	50093799	RBM5	0	+	50093750	50093799	0	1	49	0	-0.706570200463406	0.0776870254375923	ENSG00000003756.17
chr3	50093850	50093899	RBM5	0	+	50093850	50093899	0	1	49	0	0.133531392623009	0.619861822031599	ENSG00000003756.17
chr3	50113413	50113462	RBM5	0	+	50113413	50113462	0	1	49	0	0.0779615415073322	0.783253886010436	ENSG00000003756.17
chr3	50114216	50114265	RBM5	0	+	50114216	50114265	0	1	49	0	-0.316337328329418	0.369937420818564	ENSG00000003756.17
chr3	50115908	50116007	RBM5	0	+	50115908	50116007	0	1	99	0	-0.339677367539824	0.499421550336852	ENSG00000003756.17
chr8	17565055	17565253	SLC7A2	0	+	17565055	17565253	0	1	198	0	-1.14072377401197	0.00201693346963437	ENSG00000003989.18
chr8	17567193	17567292	SLC7A2	0	+	17567193	17567292	0	1	99	0	-0.455062049247536	0.359577617958821	ENSG00000003989.18
chr17	28398224	28398273	SARM1	0	+	28398224	28398273	0	1	49	0	0.0277795641070743	0.93204906408642	ENSG00000004139.14
chr17	28398771	28398920	SARM1	0	+	28398771	28398920	0	1	149	0	0.374693449441411	0.443607617881185	ENSG00000004139.14
chr17	28351760	28352920	POLDIP2	0	-	28351760	28352920	0	2	41,9	0,1152	-0.602175402478555	0.100877937605148	ENSG00000004142.12
chr3	129555275	129555474	PLXND1	0	-	129555275	129555474	0	1	199	0	0.785928914010911	1.58100789900696e-06	ENSG00000004399.12
chr3	129555624	129555723	PLXND1	0	-	129555624	129555723	0	1	99	0	0.639079959911875	0.0685778672967991	ENSG00000004399.12
chr3	129555774	129556660	PLXND1	0	-	129555774	129556660	0	2	655,44	0,843	0.531391901347468	0.108025882835744	ENSG00000004399.12
chr3	129556711	129556760	PLXND1	0	-	129556711	129556760	0	1	49	0	0.0281708764970592	0.897960911822177	ENSG00000004399.12
chr3	129561898	129562516	PLXND1	0	-	129561898	129562516	0	2	6,44	0,575	0.609064063299578	0.0628829244772374	ENSG00000004399.12
chr1	33008139	33008288	AK2	0	-	33008139	33008288	0	1	149	0	-0.488580014818671	0.0118332426943684	ENSG00000004455.17
chr1	33008339	33008388	AK2	0	-	33008339	33008388	0	1	49	0	0.39019763549039	0.198122700200308	ENSG00000004455.17
chr1	33013176	33013225	AK2	0	-	33013176	33013225	0	1	49	0	-0.0198026290538059	0.941121535877527	ENSG00000004455.17
chr1	33014388	33014437	AK2	0	-	33014388	33014437	0	1	49	0	-0.0298529630626968	0.896327484890371	ENSG00000004455.17
chr1	33021631	33024195	AK2	0	-	33021631	33024195	0	2	73,76	0,2489	0.228841572441613	0.914641956737341	ENSG00000004455.17
chr12	2795169	2795679	FKBP4	0	+	2795169	2795679	0	2	76,23	0,488	-0.200670695462454	0.391111741926884	ENSG00000004478.8
chr12	2798785	2798834	FKBP4	0	+	2798785	2798834	0	1	49	0	0.100083458757961	0.802536527386553	ENSG00000004478.8
chr12	2799936	2800083	FKBP4	0	+	2799936	2800083	0	2	5,45	0,103	0.161843025448838	0.484258472263141	ENSG00000004478.8
chr12	2801339	2801644	FKBP4	0	+	2801339	2801644	0	2	18,32	0,274	0.693147180559921	0.0108206139309491	ENSG00000004478.8
chr1	23019842	23019941	KDM1A	0	+	23019842	23019941	0	1	99	0	-0.480585738576273	0.321325164268968	ENSG00000004487.17
chr1	23030513	23030562	KDM1A	0	+	23030513	23030562	0	1	49	0	-0.243977638218758	0.340606272652256	ENSG00000004487.17
chr1	23059087	23059136	KDM1A	0	+	23059087	23059136	0	1	49	0	-0.348306694268207	0.107688959505852	ENSG00000004487.17
