ensembl_id	gene_name	logFC	AveExpr	P.Value	adj.P.Val
ENSG00000278311	GGNBP2	-0.00330148237288778	0.136676018487158	0.965813973059066	0.995369777630337
ENSG00000278259	MYO19	-0.0348332736236508	0.0149086605202649	0.698386677530088	0.938859894352669
ENSG00000277149	TYW1B	0.00889947651262538	0.236253716408771	0.908077347589916	0.985232185718886
ENSG00000276043	UHRF1	-0.0445638423687422	-0.0479991465941988	0.546198162059047	0.886190318762934
ENSG00000275895	U2AF1L5	-0.162501283397077	0.205056659841258	0.222428690845376	0.697787965455574
ENSG00000275700	AATF	-0.00627295220925923	0.126611280468654	0.946733251322905	0.991958003301376
ENSG00000275066	SYNRG	-0.047160262476744	0.0370515198648724	0.56643591461743	0.899262205033047
ENSG00000275052	PPP4R3B	-0.192120232806338	-0.0635849471763354	0.127591234252557	0.621455762444396
ENSG00000273749	CYFIP1	-0.297349848082945	-0.0217029987160494	0.0076145320749506	0.430661094929969
ENSG00000272886	DCP1A	0.062705485393532	-0.0813046396854352	0.455420514967394	0.843707328525252
ENSG00000272391	POM121C	-0.0529376067372081	-0.00257216398361679	0.5571509004248	0.893959422295943
ENSG00000270872	SRGAP2D	-0.00942635432610331	0.0556588976697485	0.927421234145234	0.986893208487357
ENSG00000270800	RPS10-NUDT3	0.0215781857621502	-0.581754570842449	0.860869958961941	0.982114568123464
ENSG00000270647	TAF15	-0.0800775608841401	0.122896840541294	0.527667606213451	0.870090201734946
ENSG00000269343	ZNF587B	-0.0482566608930043	-0.0531313208729992	0.547869072193745	0.88828144550241
ENSG00000266028	SRGAP2	-0.0863256971906301	-0.0328184533593648	0.323465089624153	0.772868285442426
ENSG00000265491	RNF115	-0.152831699542315	0.0650338168174625	0.0728408419243922	0.569843313746941
ENSG00000265354	TIMM23	0.00500823050028853	-0.0567839886391027	0.958913067081508	0.994122946157976
ENSG00000264343	NOTCH2NL	0.0976526415232336	0.48994182968053	0.25408913695513	0.712378559290678
ENSG00000263956	NBPF11	-0.0134150359839213	-0.0215210899681186	0.8555067314646	0.982114568123464
ENSG00000263528	IKBKE	-0.218543610468589	0.110194020550633	0.0630788294425982	0.569843313746941
ENSG00000263513	FAM72C	-0.350493245764103	-0.383168160548929	0.00190017309094285	0.254156270726043
ENSG00000263001	GTF2I	-0.183487163255381	0.122825383134394	0.0501363321301388	0.566488725118844
ENSG00000261794	GOLGA8H	0.163599546172709	-0.455639377843434	0.133230745807018	0.625291297421708
ENSG00000261371	PECAM1	0.353806024669569	0.132121883608185	0.0528360861919471	0.566488725118844
ENSG00000260916	CCPG1	0.136549467950034	-0.130626270836604	0.165207587071435	0.647907772590651
ENSG00000258890	CEP95	0.0205444027825549	-0.216569228593333	0.856014931322556	0.982114568123464
ENSG00000257923	CUX1	-0.188926012934254	0.465644862722135	0.164788743953469	0.647907772590651
ENSG00000257103	LSM14A	0.047468736382444	0.25101029401115	0.706228938044633	0.938859894352669
ENSG00000255152	MSH5-SAPCD1	0.0826539927919037	-0.141830581720665	0.326088015852409	0.774417402305262
ENSG00000254772	EEF1G	-0.104872567861665	-0.252792615040256	0.334792131448135	0.779003765655782
ENSG00000254087	LYN	0.126482528084379	0.124123127140497	0.231984981288496	0.701377642062213
ENSG00000253729	PRKDC	-0.180092660014319	-0.0280842409253686	0.0310733229385034	0.548219991239837
ENSG00000251201	TMED7-TICAM2	-0.0262603616435267	-0.123731884267319	0.824800973444261	0.972401570576078
ENSG00000249931	GOLGA8K	0.227694207912607	-0.388316430308174	0.0226597846303367	0.487814808014193
ENSG00000249437	NAIP	0.190166408727962	-0.0162333949971276	0.102619337394424	0.584779312357928
ENSG00000248643	RBM14-RBM4	-0.0589764110213253	0.187795712864639	0.508575963683314	0.859026135630747
ENSG00000244687	UBE2V1	-0.00169249295720778	0.0217160188910526	0.98426315363364	0.997866651955911
ENSG00000243943	ZNF512	-0.0262561592496456	0.419825089020903	0.73378078127287	0.938859894352669
ENSG00000243927	MRPS6	0.133923213445078	-0.10008635691482	0.148532928418037	0.638334673885281
ENSG00000243753	HLA-L	0.350906627087647	-0.903303072121125	0.0117935105305674	0.430661094929969
ENSG00000243646	IL10RB	-0.163016541633828	-0.06708251449127	0.0612293997986824	0.569843313746941
ENSG00000241973	PI4KA	-0.151637647385803	-0.0447675397762846	0.09093980888536	0.582791597975543
ENSG00000241878	PISD	-0.0607050597752966	0.455037666121621	0.713009040627443	0.938859894352669
ENSG00000241553	ARPC4	-0.197103037498676	-0.183327215424407	0.0362045841031495	0.552722562809345
ENSG00000241343	RPL36A	-0.091890329403891	-0.089042593908526	0.329434838752205	0.779003765655782
ENSG00000237649	KIFC1	0.126806454284218	-0.141944892179665	0.350056322331469	0.782679494976225
ENSG00000237296	SMG1P1	-0.00330702986312039	-0.111266547685149	0.966186291842259	0.995369777630337
ENSG00000231500	RPS18	-0.112136453422994	-0.488763453505073	0.434265741547003	0.834097851070503
ENSG00000230124	ACBD6	-0.249785579732287	0.179254323155145	0.109627213934059	0.594529494997919
