chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value	ensembl
chr7	92398888	92398937	ANKIB1	0	+	92398888	92398937	0	1	49	0	-0.79652553501378	0.000930996838288234	ENSG00000001629.10
chr3	129555275	129555374	PLXND1	0	-	129555275	129555374	0	1	99	0	0.785928914010911	4.07081344829706e-06	ENSG00000004399.12
chr7	105101933	105101982	KMT2E	0	+	105101933	105101982	0	1	49	0	-1.48160454083601	0.00156222724882493	ENSG00000005483.21
chr11	60937060	60937109	TMEM132A	0	+	60937060	60937109	0	1	49	0	1.30885243514637	0.000646388194777692	ENSG00000006118.14
chr17	35639599	35639648	AP2B1	0	+	35639599	35639648	0	1	49	0	-0.985283603361106	0.000458682147841394	ENSG00000006125.18
chr16	2817670	2817719	PRSS21	0	+	2817670	2817719	0	1	49	0	1.11044674631339	0.0012874655950269	ENSG00000007038.11
chr3	48659687	48659736	CELSR3	0	-	48659687	48659736	0	1	49	0	1.07451473708508	0.000529516073179748	ENSG00000008300.17
chr16	2088958	2089007	PKD1	0	-	2088958	2089007	0	1	49	0	1.38629436111989	0.002291037607831	ENSG00000008710.20
chr8	23007039	23007088	RHOBTB2	0	+	23007039	23007088	0	1	49	0	0.791587253373197	0.00264883872275345	ENSG00000008853.17
chr8	23007486	23007535	RHOBTB2	0	+	23007486	23007535	0	1	49	0	0.860201265223059	0.00102524914413737	ENSG00000008853.17
chr19	3760259	3761542	APBA3	0	-	3760259	3761542	0	2	43,7	0,1277	1.27046254544482	0.00242633555318572	ENSG00000011132.12
chr19	15398933	15398982	AKAP8L	0	-	15398933	15398982	0	1	49	0	0.984853403311447	0.000539566825555338	ENSG00000011243.18
chr11	17168893	17168942	PIK3C2A	0	-	17168893	17168942	0	1	49	0	-1.32818673031909	0.00213042181287637	ENSG00000011405.13
chr11	17169540	17169589	PIK3C2A	0	-	17169540	17169589	0	1	49	0	-1.24464384405674	0.00127341973005834	ENSG00000011405.13
chr19	43667961	43668010	PLAUR	0	-	43667961	43668010	0	1	49	0	1.74296930505773	0.000865092477994378	ENSG00000011422.12
chr19	45423590	45423814	ERCC1	0	-	45423590	45423814	0	2	16,34	0,191	2.43361335528689	0.00164483730023923	ENSG00000012061.16
chr2	200861361	200861410	CLK1	0	-	200861361	200861410	0	1	49	0	-0.99354336070735	0.00011269105783307	ENSG00000013441.16
chr4	1744543	1744592	TACC3	0	+	1744543	1744592	0	1	49	0	0.741937344729379	0.00252357506759016	ENSG00000013810.19
chr8	143538847	143538896	ZC3H3	0	-	143538847	143538896	0	1	49	0	0.998528830058635	0.0021729906092105	ENSG00000014164.7
chr5	139307889	139307938	MATR3	0	+	139307889	139307938	0	1	49	0	-0.644828603289138	0.00171199948312384	ENSG00000015479.19
chr7	44382417	44382466	NUDCD3	0	-	44382417	44382466	0	1	49	0	2.62103882410061	0.000989704892114473	ENSG00000015676.18
chr10	124942972	124943021	ZRANB1	0	+	124942972	124943021	0	1	49	0	-1.35160880313367	0.00258096022637333	ENSG00000019995.6
chr10	124943222	124966607	ZRANB1	0	+	124943222	124966607	0	2	86,14	0,23372	-1.41908418394938	1.81981287406265e-05	ENSG00000019995.6
chr10	124984944	124984993	ZRANB1	0	+	124984944	124984993	0	1	49	0	-0.759105148351743	0.00143805299600586	ENSG00000019995.6
chr8	37844697	37844746	ADGRA2	0	+	37844697	37844746	0	1	49	0	2.96183072187788	1.12144728836583e-07	ENSG00000020181.18
chr2	206159410	206159459	NDUFS1	0	-	206159410	206159459	0	1	49	0	1.40691364832301	0.00170243724927466	ENSG00000023228.14
chr13	42303454	42303503	AKAP11	0	+	42303454	42303503	0	1	49	0	-1.46967596991598	0.00167518874650452	ENSG00000023516.9
chr19	47741537	47741586	EHD2	0	+	47741537	47741586	0	1	49	0	1.43848011428897	0.000639293517760153	ENSG00000024422.12
chr20	63695417	63695466	RTEL1-TNFRSF6B	0	+	63695417	63695466	0	1	49	0	1.08091271156871	0.000413278848353404	ENSG00000026036.22
chr5	863779	863828	BRD9	0	-	863779	863828	0	1	49	0	0.847297860387204	0.0004655556326707	ENSG00000028310.18
chr5	892556	892651	BRD9	0	-	892556	892651	0	2	4,46	0,50	0.980829253011727	0.00213396777170427	ENSG00000028310.18
chr6	136261368	136261417	BCLAF1	0	-	136261368	136261417	0	1	49	0	-0.627906658691544	0.00172510715502738	ENSG00000029363.17
chr14	69399099	69399148	SLC39A9	0	+	69399099	69399148	0	1	49	0	-0.75377180237638	0.00119413556394643	ENSG00000029364.12
chr17	5383458	5383507	RABEP1	0	+	5383458	5383507	0	1	49	0	-0.925206095532107	0.000441115942163784	ENSG00000029725.17
chr11	47779084	47779133	NUP160	0	-	47779084	47779133	0	1	49	0	-0.983732012669697	0.00114722864017292	ENSG00000030066.13
chr7	151234220	151234269	CHPF2	0	+	151234220	151234269	0	1	49	0	1.46967597005894	0.00123027140804444	ENSG00000033100.16
chr10	74083419	74083468	VCL	0	+	74083419	74083468	0	1	49	0	-0.762140052046897	0.00256196815598819	ENSG00000035403.18
chr10	74089201	74089250	VCL	0	+	74089201	74089250	0	1	49	0	-0.655609261240879	0.00178401755833968	ENSG00000035403.18
chr10	74118366	74118415	VCL	0	+	74118366	74118415	0	1	49	0	-1.02528101558113	0.000640996436220176	ENSG00000035403.18
chr5	60597703	60597752	DEPDC1B	0	-	60597703	60597752	0	1	49	0	-1.14117190308691	0.00104422882070943	ENSG00000035499.13
chr4	39308795	39308844	RFC1	0	-	39308795	39308844	0	1	49	0	-0.746069582014285	0.000598665757764905	ENSG00000035928.16
chr17	42660284	42660333	TUBG2	0	+	42660284	42660333	0	1	49	0	0.944461608840851	0.000938664137302481	ENSG00000037042.9
chr4	13576952	13577412	BOD1L1	0	-	13576952	13577412	0	2	40,10	0,451	-0.794536406440654	0.00126328350094473	ENSG00000038219.13
chr4	13601387	13601436	BOD1L1	0	-	13601387	13601436	0	1	49	0	-0.797507195884187	0.000613986766175634	ENSG00000038219.13
chr4	13602585	13602634	BOD1L1	0	-	13602585	13602634	0	1	49	0	-1.3862943611199	0.00135587998323305	ENSG00000038219.13
chr4	13604281	13604330	BOD1L1	0	-	13604281	13604330	0	1	49	0	-0.803148075774274	0.00143401119493858	ENSG00000038219.13
chr4	13604430	13604479	BOD1L1	0	-	13604430	13604479	0	1	49	0	-1.41369333530678	0.000465630743638701	ENSG00000038219.13
chr4	13604580	13604629	BOD1L1	0	-	13604580	13604629	0	1	49	0	-0.945849534114041	0.00169393131216244	ENSG00000038219.13
chr5	55308039	55308088	MTREX	0	+	55308039	55308088	0	1	49	0	-0.78100853635128	0.00211878640887209	ENSG00000039123.16
chr5	169591127	169591176	SPDL1	0	+	169591127	169591176	0	1	49	0	-0.802346472524937	0.00133609644124932	ENSG00000040275.17
chr5	169593455	169593504	SPDL1	0	+	169593455	169593504	0	1	49	0	-2.32238772028976	0.00248717175896085	ENSG00000040275.17
chr1	19328704	19328753	SLC66A1	0	+	19328704	19328753	0	1	49	0	1.53686721930695	0.000358577425624396	ENSG00000040487.13
chr17	7237774	7238081	PHF23	0	-	7237774	7238081	0	2	21,29	0,279	1.02585293438568	0.00167980765266307	ENSG00000040633.13
chr1	6635487	6635536	THAP3	0	+	6635487	6635536	0	1	49	0	1.01160091167557	0.00164250151610346	ENSG00000041988.15
chr5	134579540	134579589	JADE2	0	+	134579540	134579589	0	1	49	0	0.702809091474202	0.000216329385882119	ENSG00000043143.20
chr5	134579789	134579838	JADE2	0	+	134579789	134579838	0	1	49	0	1.2527629684954	0.00113297813889035	ENSG00000043143.20
chr9	125236441	125236490	HSPA5	0	-	125236441	125236490	0	1	49	0	-0.769610044561159	0.000874302670690663	ENSG00000044574.8
chr1	186335428	186335477	TPR	0	-	186335428	186335477	0	1	49	0	-1.21639532432449	0.000549125201775746	ENSG00000047410.14
chr1	186341319	186341368	TPR	0	-	186341319	186341368	0	1	49	0	-1.10532372325626	0.00157803461788619	ENSG00000047410.14
chr1	186344001	186344050	TPR	0	-	186344001	186344050	0	1	49	0	-1.1096621248547	0.000710615813901971	ENSG00000047410.14
chr1	186344435	186344534	TPR	0	-	186344435	186344534	0	1	99	0	-1.31730148963349	2.01009508966812e-05	ENSG00000047410.14
chr1	186362915	186362964	TPR	0	-	186362915	186362964	0	1	49	0	-1.03977178864517	0.000634845791517069	ENSG00000047410.14
chr5	176388779	176388828	NOP16	0	-	176388779	176388828	0	1	49	0	1.18455471846879	0.000296372249807275	ENSG00000048162.21
chr6	156901485	156901534	ARID1B	0	+	156901485	156901534	0	1	49	0	0.932820033825193	0.00186865853876395	ENSG00000049618.24
chr9	131085626	131085675	LAMC3	0	+	131085626	131085675	0	1	49	0	0.852211875188847	0.00235137043808653	ENSG00000050555.18
chr16	88643338	88643387	CYBA	0	-	88643338	88643387	0	1	49	0	0.80349523772881	0.000468737596199697	ENSG00000051523.11
chr1	36303818	36303867	THRAP3	0	+	36303818	36303867	0	1	49	0	0.872940290999848	0.00230876291728521	ENSG00000054118.15
