	S0014	S0026	S0030	S0085	COV00075	COV00084	COV00093	COV00106	COV00397	COV00413	COV00419	COV00422	COV00432
M_peak	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.8e-08	1.0	1.0	1.0	1.0	1.0
M_peak_2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.3e-10	1.0	1.0	1.0	1.0	1.0
N_peak	2e-77	2.5e-44	2.8e-08	9.999999999999998e-154	6.6e-05	6.3e-14	2.6e-06	1.6e-15	8.499999999999999e-05	2e-13	6.3e-24	1.2e-06	2e-42
N_peak_2	2e-19	1.0	1.0	5e-47	5.2e-09	7.1e-08	1.3e-15	7.9e-18	2.1000000000000002e-10	1.0	1.0	1.9999999999999998e-15	7.9e-20
N_peak_3	1.3e-39	1.0	1.0	1.0	1.9e-10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
N_peak_4	4.999999999999998e-97	1.0	1.0	1e-33	6.3e-13	4e-13	5.0999999999999995e-06	1.4e-07	6.3000000000000005e-25	1.3e-17	8.7e-08	1.0	1.3e-23
N_peak_5	4e-39	1.0	1.0	4.999999999999999e-52	7.9e-18	1.0	1.0	1.0	1.0	2e-05	1.0	1.0	1.0
N_peak_6	1.0	1.0	1.0	1.0	1.0	1.0	7.6e-10	1.0	6.6e-05	1.0	1.0	1.0	1.0
N_peak_7	1e-18	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ORF10_peak	1.0	3.199999999999999e-78	1.3e-22	9.999999999999997e-203	7.9e-20	3.2e-06	1.6e-26	4e-30	5.4e-08	1.0	2.1000000000000002e-10	1.2e-08	1.6e-09
ORF3a_peak	1.0	1.0	1.0	1.0	0.00025	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ORF3a_peak_2	1.0	1.0	1.0	1.0	9.1e-09	1.0	6.6e-06	7.900000000000001e-11	1.0	1.0	1.0	1.0	1.0
ORF3a_peak_3	1.0	1.0	1.0	1.0	2e-13	1.0	1.3e-13	1.6e-16	1.0	1.0	1.0	0.00018	1.0
ORF3a_peak_4	1.0	1.0	1.0	1.0	1e-08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.8e-07
ORF3a_peak_5	1.0	1.0	1.0	1.0	0.00011	1.0	9.8e-05	1.0	1.0	1.0	1.0	1.0	1.0
ORF3a_peak_6	1.0	1.0	1.0	1.0	5.2e-07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ORF7a_peak	1.0	1.5e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ORF7a_peak_2	1.0	1.0	1.0	4.0000000000000004e-11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ORF8_peak	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.6e-05	1.0	1.0	1.0	1.2e-10
S_peak	1.0	1.0	1.0	1.0	1.2e-09	1.0	2.5e-11	4.4000000000000003e-10	1.0	1.0	1.0	1.0	1.0
S_peak_2	3.1999999999999996e-14	1.0	1.0	9.999999999999996e-221	1.7e-06	1.0	5e-14	2.7000000000000005e-10	1.0	1.0	1.0	1.7e-05	1.0
S_peak_3	1.3e-84	1.9999999999999998e-15	1.0	1.0	5e-66	6.3e-27	9.999999999999998e-150	9.999999999999997e-146	1.7e-08	1.3e-06	1.0	3.2e-27	9.999999999999999e-111
S_peak_4	3.2e-18	0.00021	1.0	9.999999999999998e-105	3e-09	1.2e-10	2.5e-15	2e-14	1.0	1.0	1.0	1.0	1.9999999999999999e-22
S_peak_5	1.3e-38	1.0	1.0	1.9e-06	1.0	1.0	0.00045	1.0	1.0	1.0	1.0	1.0	1.0
S_peak_6	2.5e-11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
S_peak_7	5.0000000000000004e-30	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
S_peak_8	1.0	1.0	1.0	1.0	3.8e-05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
S_peak_9	3.2e-60	1.0	1.0	1.0	7.4e-07	1.0	1.7000000000000001e-09	1.0	1.0	1.0	1.0	1.0	1.0
S_peak_10	7.899999999999999e-70	1.0	1.0	6.3e-45	1.6e-11	1.0	2.5e-17	2.5e-34	7.4e-07	1.0	9.3e-07	0.0022	1.0
S_peak_11	6e-06	1.0	1.0	6.299999999999999e-71	1.6e-17	1.0	2.0000000000000002e-11	1.6e-16	1.0	1.0	1.0	2e-05	6.3e-21
S_peak_12	1.5e-09	1.0	1.0	1.0	1.0	1.0	1.0	1.4000000000000001e-05	1.0	1.0	1.0	1.0	1.0
S_peak_13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4e-05	1.0	1.0	1.0	1.0	1.0
S_peak_14	1.0	1.0	1.0	1.0	1.0	1.5e-08	1.0	1.0	1.0	1.0	1.0	1.0	1.0
S_peak_15	1.0	1.0	1.0	1.6e-17	3.5e-07	1.0	8.699999999999999e-10	1.0	1.0	1.0	1.0	4e-06	1.0
S_peak_16	1.0	1.0	1.0	2.5e-14	2e-13	1.0	9.1e-06	2e-05	1.0	1.0	1.0	1.8000000000000002e-10	6.3e-16
